
Iteration,NormDifference
        1, 0.000000e+000
        2, 1.#INF00e+000
        3, 8.185581e-001
        4, 3.692849e+000
        5, 6.441315e-001
        6, 1.481612e+000
        7, 4.887088e-001
        8, 7.824044e-001
        9, 3.593144e-001
       10, 4.590702e-001
       11, 2.575446e-001
       12, 2.839433e-001
       13, 1.810236e-001
       14, 1.809312e-001
       15, 1.254118e-001
       16, 1.173773e-001
       17, 8.598723e-002
       18, 7.700718e-002
       19, 5.852779e-002
       20, 5.088669e-002
       21, 3.963673e-002
       22, 3.378406e-002
       23, 2.675047e-002
       24, 2.249867e-002
       25, 1.801124e-002
       26, 1.501366e-002
       27, 1.210777e-002
       28, 1.003239e-002
       29, 8.130522e-003
       30, 6.709859e-003
       31, 5.455802e-003
       32, 4.490390e-003
       33, 3.659214e-003
       34, 3.006280e-003
       35, 2.453439e-003
       36, 2.013222e-003
       37, 1.644628e-003
       38, 1.348441e-003
       39, 1.102291e-003
       40, 9.032852e-004
       41, 7.387242e-004
       42, 6.051357e-004
       43, 4.950392e-004
       44, 4.054191e-004
       45, 3.317246e-004
       46, 2.716260e-004
       47, 2.222813e-004
       48, 1.819906e-004
       49, 1.489428e-004
       50, 1.219365e-004
       51, 9.979993e-005
       52, 8.170019e-005
       53, 6.687090e-005
       54, 5.474138e-005
       55, 4.480655e-005
       56, 3.667841e-005
       57, 3.002231e-005
       58, 2.457574e-005
       59, 2.011618e-005
       60, 1.646659e-005
       61, 1.347864e-005
       62, 1.103320e-005
       63, 9.031216e-006
       64, 7.392642e-006
       65, 6.051263e-006
       66, 4.953340e-006
       67, 4.054577e-006
       68, 3.318920e-006
       69, 2.716720e-006
       70, 2.223799e-006
       71, 1.820305e-006
       72, 1.490028e-006
       73, 1.219673e-006
       74, 9.983744e-007
       75, 8.172267e-007
       76, 6.689481e-007
       77, 5.475725e-007
       78, 4.482202e-007
       79, 3.668941e-007
       80, 3.003243e-007
       81, 2.458328e-007
       82, 2.012285e-007
       83, 1.647172e-007
       84, 1.348306e-007
       85, 1.103667e-007
       86, 9.034158e-008
       87, 7.394984e-008
       88, 6.053225e-008
       89, 4.954917e-008
       90, 4.055889e-008
       91, 3.319982e-008
       92, 2.717600e-008
       93, 2.224515e-008
       94, 1.820897e-008
       95, 1.490513e-008
       96, 1.220071e-008
       97, 9.987019e-009
       98, 8.174950e-009
       99, 6.691676e-009
      100, 5.477536e-009
      101, 4.483682e-009
      102, 3.670170e-009
      103, 3.004264e-009
      104, 2.459158e-009
      105, 2.012977e-009
      106, 1.647756e-009
      107, 1.348798e-009
      108, 1.104073e-009
