
Inspected Vertex: 115
Time,P(Pa)
0,289.359
25,292.997
50,294.523
75,295.701
100,296.7
125,297.584
150,298.382
175,299.104
200,299.746
225,300.296
250,300.735
275,301.048
300,301.22
325,301.24
350,301.104
375,300.809
400,300.356
425,299.75
450,298.998
475,298.105
500,297.083
525,295.938
550,294.681
575,293.32
600,291.865
625,290.324
650,288.706
675,287.018
700,285.268
725,283.463
750,281.608
775,279.71
800,277.775
825,275.807
850,273.81
875,271.79
900,269.749
925,267.692
950,265.622
975,263.541
1000,261.452
1025,259.357
1050,257.259
1075,255.16
1100,253.062
1125,250.965
1150,248.872
1175,246.784
1200,244.701
1225,242.626
1250,240.559
1275,238.501
1300,236.453
1325,234.415
1350,232.388
1375,230.372
1400,228.369
1425,226.378
1450,224.4
1475,222.435
1500,220.484
1525,218.546
1550,216.622
1575,214.712
1600,212.817
1625,210.935
1650,209.069
1675,207.217
1700,205.379
1725,203.556
1750,201.748
1775,199.955
1800,198.176
1825,196.412
1850,194.663
1875,192.928
1900,191.208
1925,189.503
1950,187.812
1975,186.135
2000,184.473
2025,182.825
2050,181.192
2075,179.572
2100,177.967
2125,176.376
2150,174.798
2175,173.235
2200,171.685
2225,170.148
2250,168.625
2275,167.116
2300,165.62
2325,164.137
2350,162.667
2375,161.211
2400,159.767
2425,158.336
2450,156.917
2475,155.512
2500,154.119
2525,152.738
2550,151.369
2575,150.013
2600,148.669
2625,147.336
2650,146.016
2675,144.708
2700,143.411
2725,142.125
2750,140.852
2775,139.589
2800,138.338
2825,137.098
2850,135.869
2875,134.651
2900,133.444
2925,132.248
2950,131.063
2975,129.888
3000,128.724
3025,127.57
3050,126.426
3075,125.293
3100,124.169
3125,123.056
3150,121.953
3175,120.86
3200,119.776
3225,118.703
3250,117.638
3275,116.584
3300,115.539
3325,114.503
3350,113.476
3375,112.459
3400,111.451
3425,110.452
3450,109.461
3475,108.48
3500,107.508
3525,106.544
3550,105.589
3575,104.642
3600,103.704
3625,102.774
3650,101.853
3675,100.939
3700,100.035
3725,99.1377
3750,98.2489
3775,97.368
3800,96.4951
3825,95.63
3850,94.7726
3875,93.9229
3900,93.0809
3925,92.2464
3950,91.4194
3975,90.5997
4000,89.7875
