
Inspected Vertex: 0
Time,sigmaYY(Pa)
0,-774.943
25,-784.99
50,-789.011
75,-792.138
100,-794.796
125,-797.154
150,-799.297
175,-801.28
200,-803.14
225,-804.906
250,-806.598
275,-808.235
300,-809.829
325,-811.39
350,-812.928
375,-814.448
400,-815.955
425,-817.451
450,-818.938
475,-820.42
500,-821.895
525,-823.366
550,-824.831
575,-826.291
600,-827.747
625,-829.197
650,-830.641
675,-832.079
700,-833.511
725,-834.936
750,-836.354
775,-837.764
800,-839.167
825,-840.561
850,-841.947
875,-843.325
900,-844.693
925,-846.053
950,-847.403
975,-848.744
1000,-850.075
1025,-851.396
1050,-852.708
1075,-854.009
1100,-855.301
1125,-856.582
1150,-857.854
1175,-859.115
1200,-860.367
1225,-861.608
1250,-862.839
1275,-864.059
1300,-865.27
1325,-866.471
1350,-867.661
1375,-868.841
1400,-870.012
1425,-871.172
1450,-872.322
1475,-873.463
1500,-874.594
1525,-875.715
1550,-876.826
1575,-877.927
1600,-879.019
1625,-880.101
1650,-881.174
1675,-882.238
1700,-883.292
1725,-884.336
1750,-885.372
1775,-886.398
1800,-887.416
1825,-888.424
1850,-889.424
1875,-890.414
1900,-891.396
1925,-892.369
1950,-893.333
1975,-894.289
2000,-895.236
2025,-896.175
2050,-897.106
2075,-898.028
2100,-898.942
2125,-899.847
2150,-900.745
2175,-901.635
2200,-902.516
2225,-903.39
2250,-904.256
2275,-905.115
2300,-905.965
2325,-906.808
2350,-907.644
2375,-908.472
2400,-909.292
2425,-910.106
2450,-910.911
2475,-911.71
2500,-912.502
2525,-913.286
2550,-914.064
2575,-914.834
2600,-915.598
2625,-916.355
2650,-917.105
2675,-917.848
2700,-918.584
2725,-919.314
2750,-920.038
2775,-920.755
2800,-921.465
2825,-922.17
2850,-922.867
2875,-923.559
2900,-924.244
2925,-924.924
2950,-925.597
2975,-926.264
3000,-926.925
3025,-927.58
3050,-928.23
3075,-928.873
3100,-929.511
3125,-930.143
3150,-930.769
3175,-931.39
3200,-932.005
3225,-932.615
3250,-933.219
3275,-933.818
3300,-934.412
3325,-935
3350,-935.582
3375,-936.16
3400,-936.733
3425,-937.3
3450,-937.862
3475,-938.419
3500,-938.971
3525,-939.519
3550,-940.061
3575,-940.598
3600,-941.131
3625,-941.659
3650,-942.182
3675,-942.7
3700,-943.214
3725,-943.723
3750,-944.228
3775,-944.728
3800,-945.224
3825,-945.715
3850,-946.202
3875,-946.684
3900,-947.162
3925,-947.636
3950,-948.105
3975,-948.571
4000,-949.032
