
Inspected Vertex: 4
Time,u(m)
0,2.79195e-007
25,2.71704e-007
50,2.68887e-007
75,2.667e-007
100,2.64834e-007
125,2.63174e-007
150,2.61662e-007
175,2.60262e-007
200,2.58952e-007
225,2.57716e-007
250,2.56541e-007
275,2.55419e-007
300,2.54342e-007
325,2.53306e-007
350,2.52306e-007
375,2.51338e-007
400,2.50399e-007
425,2.49485e-007
450,2.48596e-007
475,2.47729e-007
500,2.46883e-007
525,2.46055e-007
550,2.45245e-007
575,2.44451e-007
600,2.43672e-007
625,2.42908e-007
650,2.42157e-007
675,2.41419e-007
700,2.40694e-007
725,2.39979e-007
750,2.39276e-007
775,2.38583e-007
800,2.379e-007
825,2.37227e-007
850,2.36563e-007
875,2.35907e-007
900,2.3526e-007
925,2.34621e-007
950,2.3399e-007
975,2.33367e-007
1000,2.32751e-007
1025,2.32142e-007
1050,2.31539e-007
1075,2.30944e-007
1100,2.30355e-007
1125,2.29773e-007
1150,2.29197e-007
1175,2.28626e-007
1200,2.28062e-007
1225,2.27504e-007
1250,2.26951e-007
1275,2.26404e-007
1300,2.25862e-007
1325,2.25326e-007
1350,2.24795e-007
1375,2.2427e-007
1400,2.23749e-007
1425,2.23233e-007
1450,2.22723e-007
1475,2.22217e-007
1500,2.21716e-007
1525,2.2122e-007
1550,2.20728e-007
1575,2.20241e-007
1600,2.19759e-007
1625,2.19281e-007
1650,2.18808e-007
1675,2.18339e-007
1700,2.17874e-007
1725,2.17413e-007
1750,2.16957e-007
1775,2.16505e-007
1800,2.16057e-007
1825,2.15614e-007
1850,2.15174e-007
1875,2.14738e-007
1900,2.14306e-007
1925,2.13879e-007
1950,2.13455e-007
1975,2.13035e-007
2000,2.12618e-007
2025,2.12206e-007
2050,2.11797e-007
2075,2.11392e-007
2100,2.10991e-007
2125,2.10593e-007
2150,2.10199e-007
2175,2.09808e-007
2200,2.09421e-007
2225,2.09038e-007
2250,2.08657e-007
2275,2.08281e-007
2300,2.07907e-007
2325,2.07537e-007
2350,2.07171e-007
2375,2.06807e-007
2400,2.06447e-007
2425,2.06091e-007
2450,2.05737e-007
2475,2.05386e-007
2500,2.05039e-007
2525,2.04695e-007
2550,2.04354e-007
2575,2.04016e-007
2600,2.03681e-007
2625,2.03349e-007
2650,2.0302e-007
2675,2.02694e-007
2700,2.02371e-007
2725,2.02051e-007
2750,2.01733e-007
2775,2.01419e-007
2800,2.01107e-007
2825,2.00798e-007
2850,2.00492e-007
2875,2.00189e-007
2900,1.99888e-007
2925,1.9959e-007
2950,1.99295e-007
2975,1.99002e-007
3000,1.98712e-007
3025,1.98425e-007
3050,1.9814e-007
3075,1.97858e-007
3100,1.97578e-007
3125,1.97301e-007
3150,1.97026e-007
3175,1.96754e-007
3200,1.96484e-007
3225,1.96217e-007
3250,1.95952e-007
3275,1.95689e-007
3300,1.95429e-007
3325,1.95171e-007
3350,1.94915e-007
3375,1.94662e-007
3400,1.94411e-007
3425,1.94162e-007
3450,1.93916e-007
3475,1.93671e-007
3500,1.93429e-007
3525,1.93189e-007
3550,1.92951e-007
3575,1.92715e-007
3600,1.92482e-007
3625,1.9225e-007
3650,1.92021e-007
3675,1.91794e-007
3700,1.91568e-007
3725,1.91345e-007
3750,1.91124e-007
3775,1.90904e-007
3800,1.90687e-007
3825,1.90472e-007
3850,1.90258e-007
3875,1.90047e-007
3900,1.89837e-007
3925,1.89629e-007
3950,1.89423e-007
3975,1.89219e-007
4000,1.89017e-007
