
Inspected Vertex: 106
Time,v(m)
0,-1.10828e-007
25,-1.12221e-007
50,-1.12805e-007
75,-1.13257e-007
100,-1.1364e-007
125,-1.13978e-007
150,-1.14286e-007
175,-1.1457e-007
200,-1.14835e-007
225,-1.15085e-007
250,-1.15322e-007
275,-1.15549e-007
300,-1.15766e-007
325,-1.15974e-007
350,-1.16176e-007
375,-1.1637e-007
400,-1.16559e-007
425,-1.16743e-007
450,-1.16922e-007
475,-1.17096e-007
500,-1.17266e-007
525,-1.17432e-007
550,-1.17595e-007
575,-1.17754e-007
600,-1.1791e-007
625,-1.18063e-007
650,-1.18214e-007
675,-1.18362e-007
700,-1.18507e-007
725,-1.18651e-007
750,-1.18792e-007
775,-1.1893e-007
800,-1.19067e-007
825,-1.19202e-007
850,-1.19335e-007
875,-1.19467e-007
900,-1.19596e-007
925,-1.19724e-007
950,-1.19851e-007
975,-1.19976e-007
1000,-1.20099e-007
1025,-1.20221e-007
1050,-1.20342e-007
1075,-1.20461e-007
1100,-1.20579e-007
1125,-1.20696e-007
1150,-1.20811e-007
1175,-1.20925e-007
1200,-1.21038e-007
1225,-1.2115e-007
1250,-1.21261e-007
1275,-1.2137e-007
1300,-1.21479e-007
1325,-1.21586e-007
1350,-1.21692e-007
1375,-1.21798e-007
1400,-1.21902e-007
1425,-1.22005e-007
1450,-1.22107e-007
1475,-1.22209e-007
1500,-1.22309e-007
1525,-1.22408e-007
1550,-1.22507e-007
1575,-1.22604e-007
1600,-1.22701e-007
1625,-1.22796e-007
1650,-1.22891e-007
1675,-1.22985e-007
1700,-1.23078e-007
1725,-1.2317e-007
1750,-1.23262e-007
1775,-1.23352e-007
1800,-1.23442e-007
1825,-1.23531e-007
1850,-1.23619e-007
1875,-1.23706e-007
1900,-1.23792e-007
1925,-1.23878e-007
1950,-1.23963e-007
1975,-1.24047e-007
2000,-1.2413e-007
2025,-1.24213e-007
2050,-1.24295e-007
2075,-1.24376e-007
2100,-1.24456e-007
2125,-1.24536e-007
2150,-1.24615e-007
2175,-1.24693e-007
2200,-1.24771e-007
2225,-1.24847e-007
2250,-1.24924e-007
2275,-1.24999e-007
2300,-1.25074e-007
2325,-1.25148e-007
2350,-1.25221e-007
2375,-1.25294e-007
2400,-1.25366e-007
2425,-1.25438e-007
2450,-1.25508e-007
2475,-1.25579e-007
2500,-1.25648e-007
2525,-1.25717e-007
2550,-1.25785e-007
2575,-1.25853e-007
2600,-1.2592e-007
2625,-1.25986e-007
2650,-1.26052e-007
2675,-1.26118e-007
2700,-1.26182e-007
2725,-1.26246e-007
2750,-1.2631e-007
2775,-1.26373e-007
2800,-1.26435e-007
2825,-1.26497e-007
2850,-1.26559e-007
2875,-1.26619e-007
2900,-1.26679e-007
2925,-1.26739e-007
2950,-1.26798e-007
2975,-1.26857e-007
3000,-1.26915e-007
3025,-1.26972e-007
3050,-1.27029e-007
3075,-1.27086e-007
3100,-1.27142e-007
3125,-1.27198e-007
3150,-1.27253e-007
3175,-1.27307e-007
3200,-1.27361e-007
3225,-1.27415e-007
3250,-1.27468e-007
3275,-1.2752e-007
3300,-1.27572e-007
3325,-1.27624e-007
3350,-1.27675e-007
3375,-1.27726e-007
3400,-1.27776e-007
3425,-1.27826e-007
3450,-1.27875e-007
3475,-1.27924e-007
3500,-1.27973e-007
3525,-1.28021e-007
3550,-1.28069e-007
3575,-1.28116e-007
3600,-1.28163e-007
3625,-1.28209e-007
3650,-1.28255e-007
3675,-1.283e-007
3700,-1.28345e-007
3725,-1.2839e-007
3750,-1.28435e-007
3775,-1.28478e-007
3800,-1.28522e-007
3825,-1.28565e-007
3850,-1.28608e-007
3875,-1.2865e-007
3900,-1.28692e-007
3925,-1.28734e-007
3950,-1.28775e-007
3975,-1.28816e-007
4000,-1.28856e-007
