
Inspected Vertex: 133
Time,P(Pa)
0,435167
25,435138
50,431860
75,417511
100,393471
125,364831
150,335194
175,306448
200,279435
225,254450
250,231530
275,210593
300,191512
325,174140
350,158336
375,143961
400,130890
425,119004
450,108197
475,98371.7
500,89438.2
525,81315.9
550,73931.3
575,67217.2
600,61112.9
625,55562.9
650,50517
675,45929.3
700,41758.2
725,37965.9
750,34518
775,31383.3
800,28533.2
825,25941.9
850,23586
875,21444
900,19496.6
925,17726
950,16116.2
975,14652.6
1000,13321.9
1025,12112.1
1050,11012.1
1075,10012.1
1100,9102.81
1125,8276.13
1150,7524.53
1175,6841.19
1200,6219.9
1225,5655.04
1250,5141.47
1275,4674.55
1300,4250.03
1325,3864.06
1350,3513.14
1375,3194.09
1400,2904.02
1425,2640.29
1450,2400.51
1475,2182.51
1500,1984.3
1525,1804.1
1550,1640.26
1575,1491.3
1600,1355.86
1625,1232.73
1650,1120.78
1675,1019
1700,926.455
1725,842.318
1750,765.823
1775,696.274
1800,633.042
1825,575.552
1850,523.283
1875,475.76
1900,432.554
1925,393.271
1950,357.556
1975,325.085
2000,295.562
