
Inspected Vertex: 98
Time,sigmaYY(Pa)
0,-661537
25,-661561
50,-664180
75,-675449
100,-694213
125,-716515
150,-739567
175,-761913
200,-782907
225,-802322
250,-820130
275,-836396
300,-851221
325,-864717
350,-876996
375,-888164
400,-898319
425,-907552
450,-915948
475,-923581
500,-930522
525,-936831
550,-942568
575,-947784
600,-952526
625,-956838
650,-960758
675,-964322
700,-967562
725,-970508
750,-973187
775,-975622
800,-977836
825,-979849
850,-981679
875,-983343
900,-984856
925,-986231
950,-987481
975,-988618
1000,-989652
1025,-990592
1050,-991446
1075,-992223
1100,-992929
1125,-993572
1150,-994155
1175,-994686
1200,-995169
1225,-995608
1250,-996007
1275,-996369
1300,-996699
1325,-996999
1350,-997271
1375,-997519
1400,-997744
1425,-997949
1450,-998136
1475,-998305
1500,-998459
1525,-998599
1550,-998726
1575,-998842
1600,-998947
1625,-999043
1650,-999130
1675,-999209
1700,-999280
1725,-999346
1750,-999405
1775,-999459
1800,-999508
1825,-999553
1850,-999594
1875,-999631
1900,-999664
1925,-999695
1950,-999722
1975,-999748
2000,-999770
