Y Coordinates:
0,0.15,0.3,0.45,0.6,0.75,0.9,1.05,1.2,1.35,1.5,1.65,1.8,1.95,2.1,2.25,2.4,2.55,2.7,2.85,3,3.15,3.3,3.45,3.6,3.75,3.9,4.05,4.2,4.35,4.5,4.65,4.8,4.95,5.1,5.25,5.4,5.55,5.7,5.85,6,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,
25,435139,435132,435108,435059,434968,434803,434518,434042,433212,431894,429825,426726,422029,415167,405439,391981,373870,350375,319565,281568,235609,230145,223896,216814,208923,200249,190873,180653,169717,158146,145970,133135,119776,105923,91621.8,76943.5,61946.4,46697.2,31241.9,15658.3,0,
50,431871,431653,430985,429813,428051,425572,422225,417850,412012,404635,395402,384075,370136,353309,333320,309882,282799,252092,217147,178610,136579,132039,127201,122051,116601,110864,104872,98576.7,92025.6,85249.5,78260.9,71041.8,63640.8,56068.8,48342.9,40487.6,32523.3,24473.2,16353,8189.15,0,
75,417534,417001,415392,412668,408762,403582,397029,389025,379180,367590,354092,338602,320827,300718,278238,253345,226063,196552,164599,130712,95063.2,91340.1,87479.2,83474.9,79333.9,75062.9,70677.1,66155.1,61519.4,56784,51954.6,47023.9,42013.5,36928.3,31776.1,26567.6,21311.8,16018.7,10695.4,5353.15,0,
100,393499,392778,390618,386998,381892,375259,367066,357317,345706,332434,317444,300739,282167,261776,239617,215733,190210,163214,134669,104949,74206.9,71045.4,67808.9,64494.7,61107,57649.5,54130.9,50540,46889,43185.6,39432.8,35627.1,31779.7,27893.5,23972.5,20022.3,16047.6,12053.7,8044.18,4024.91,0,
125,364858,364072,361721,357801,352309,345236,336590,326420,314483,301021,286035,269568,251542,232043,211154,188946,165518,141025,115440,89054,61992.6,59231.2,56422.7,53565.6,50662.9,47717,44733.4,41705.5,38640.8,35544,32417.4,29258.5,26074.5,22867.1,19638.7,16392.7,13132,9859.81,6578.21,3290.79,0,
150,335218,334437,332103,328219,322795,315839,307378,297478,285941,273015,258728,243140,226209,208032,188702,168298,146919,124703,101645,77983.9,53825.3,51369.9,48881.3,46358.4,43803.4,41218.3,38606.8,35964.4,33296.6,30606.6,27895.9,25163.1,22413.1,19646.9,16866.3,14073.8,11271.2,8460.79,5643.94,2823.12,0,
175,306469,305726,303507,299820,294677,288095,280108,270790,259967,247883,234574,220106,204452,187714,169982,151335,131866,111698,90838.7,69488.5,47741.1,45535.5,43304,41046,38763.2,36457.1,34130.7,31780.6,29411.1,27024.6,24622.3,22203.2,19770.9,17326.4,14871,12406.5,9934.44,7456.4,4973.51,2487.62,0,
200,279452,278760,276696,273268,268490,262381,254978,246352,236352,225205,212951,199655,185300,169981,153785,136786,119071,100751,81836.9,62504.6,42837.2,40844.8,38830.9,36795.1,34738.7,32663.1,30570.9,28459.1,26331.4,24189.8,22035.2,19866.9,17687.8,15498.7,13300.8,11095.4,8883.82,6667.4,4447.03,2224.22,0,
225,254464,253827,251928,248775,244382,238768,231969,224052,214883,204672,193458,181301,168190,154215,139454,123977,107865,91217.2,74045.3,56506.7,38675.9,36870.6,35046.8,33204,31343.5,29466.5,27575.2,25667.1,23745.3,21811.6,19866.8,17910.2,15944.4,13970.1,11988.2,9999.9,8006.33,6008.62,4007.54,2004.37,0,
