Y Coordinates:
0,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1,1.11111,1.22222,1.33333,1.44444,1.55556,1.66667,1.77778,1.88889,2,2.11111,2.22222,2.33333,2.44445,2.55556,2.66667,2.77778,2.88889,3,3.11111,3.22222,3.33333,3.44444,3.55556,3.66667,3.77778,3.88889,4,4.11111,4.22222,4.33333,4.44444,4.55556,4.66667,4.77778,4.88889,5,5.11111,5.22222,5.33333,5.44445,5.55556,5.66667,5.77778,5.88889,6,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,
25,435139,435135,435123,435100,435061,434998,434905,434755,434543,434211,433733,433044,432070,430728,428828,426263,422796,418229,412233,404588,394676,382370,367354,348829,326826,300907,270395,235509,231582,227205,222337,217040,211313,205123,198540,191481,184054,176211,167996,159411,150494,141225,131627,121745,111591,101180,90546.2,79682.6,68645.4,57452.9,46120.6,34685.1,23171.6,11598.7,0,
50,431865,431749,431384,430775,429858,428622,427043,424995,422512,419371,415579,411010,405559,399151,391511,382640,372330,360513,346987,331741,314425,295186,273999,250565,225128,197655,168026,136548,133230,129741,126067,122233,118239,114075,109767,105287,100675,95913.8,91020.3,85996,80854.7,75590.1,70211,64733.4,59161.5,53501.2,47764.4,41948.8,36073.9,30146,24170.6,18160,12123,6065.88,0,
75,417526,417241,416355,414901,412779,410019,406623,402438,397578,391784,385144,377566,368998,359426,348645,336733,323578,309193,293485,276516,258106,238423,217510,195244,171826,147291,121631,95057.4,92320.4,89503.9,86602.1,83626.8,80578.7,77453.4,74263.3,70995.6,67668.5,64275.1,60822.8,57312.5,53750.5,50134.3,46467.7,42757.9,39006.9,35217.4,31394.5,27537.4,23654.5,19748.6,15822.1,11880.5,7927.39,3965.57,0,
100,393493,393108,391914,389965,387150,383531,379138,373823,367747,360667,352716,343838,334023,323294,311505,298766,285017,270304,254586,237942,220270,201719,182343,162084,141096,119421,97076.5,74209.3,71878.8,69504.8,67084.6,64624.5,62125.3,59584.6,57009.3,54392.6,51744.4,49061.2,46346.8,43602,40830,38029.5,35202.8,32353.5,29482.8,26592.1,23684.1,20758.3,17819.2,14868.2,11906.5,8937.06,5961.68,2981.81,0,
125,364855,364436,363134,361016,357969,354072,349367,343719,337308,329910,321679,312579,302622,291848,280150,267644,254297,240166,225236,209583,193147,176056,158359,140029,121186,101870,82104.4,61997.2,59958.8,57893,55798.2,53678.7,51534.7,49365.1,47174.1,44957.6,42721.8,40464.4,38188.1,35893.1,33581.7,31253,28908.4,26550.1,24178.9,21795.6,19401.9,16997.5,14585.1,12165.6,9739.64,7309.02,4874.86,2438,0,
150,335218,334801,333508,331407,328389,324537,319901,314355,308080,300874,292891,284109,274548,264254,253143,241328,228790,215589,201719,187253,172150,156522,140415,123813,106816,89461.2,71770.2,53830.1,52016.3,50183.1,48329.5,46458.4,44570.1,42663.8,40742.6,38803.7,36851.2,34883.9,32903.4,30910,28905.2,26888.6,24860.9,22823.9,20778.1,18723.9,16662.6,14594,12519.9,10441,8357.7,6271.2,4182.28,2091.53,0,
175,306472,306075,304846,302848,299983,296330,291939,286695,280772,273986,266485,258253,249314,239714,229384,218428,206836,194666,181916,168655,154852,140604,125956,110897,95513.2,79837,63890.3,47745.6,46115.7,44470.7,42809.8,41135.4,39447.7,37746.1,36033,34306.3,32569.2,30820.7,29062.1,27293.7,25516.6,23730.4,21935.9,20134.2,18325.9,16511.2,14691.1,12865.5,11035.7,9202.26,7365.52,5526.35,3685.35,1842.97,0,
200,279456,279087,277943,276085,273421,270027,265949,261084,255594,249312,242375,234771,226525,217681,208179,198116,187485,176340,164682,152573,139990,127019,113700,100026,86073.9,71871.5,57439.6,42841.3,41368.7,39883.5,38385.1,36875.5,35355,33823,32281.6,30728.8,29167.6,27597,26018.2,24431.2,22837.2,21235.7,19627.4,18013.3,16393.6,14768.9,13139.7,11506,9868.94,8228.87,6586.11,4941.38,3295.17,1647.82,0,
225,254470,254130,253077,251368,248918,245796,242048,237578,232536,226770,220406,213436,205882,197786,189093,179895,170186,160015,149384,138351,126894,115093,102983,90560.1,77891.2,65002.8,51913.7,38679.7,37345.2,35999.8,34643.1,33276.8,31901,30515.3,29121.5,27718,26307.3,24888.4,23462.5,22029.6,20590.7,19145.3,17694.2,16238,14777.2,13311.9,11842.9,10370.1,8894.29,7415.97,5935.35,4453.05,2969.48,1484.94,0,
250,231548,231237,230274,228710,226469,223614,220186,216100,211492,206223,200410,194046,187150,179763,171835,163449,154600,145334,135654,125611,115187,104454,93443.6,82153,70642.6,58936.3,47051.2,35037.5,33826.3,32605.5,31374.7,30135.4,28887.7,27631.3,26367.8,25095.7,23817.1,22531.5,21239.6,19941.7,18638.3,17329.4,16015.3,14696.8,13374.2,12047.8,10718,9384.83,8049.12,6711.17,5371.2,4029.75,2687.18,1343.77,0,
275,210610,210327,209448,208022,205977,203374,200248,196522,192320,187518,182220,176420,170138,163409,156189,148553,140498,132064,123256,114119,104638,94878.3,84868.1,74604.8,64143.5,53505.9,42707.5,31793.7,30693.5,29584.7,28467,27341.6,26208.7,25068.1,23921,22766.3,21605.9,20439.1,19266.7,18088.9,16906.3,15718.7,14526.5,13330.3,12130.5,10927.2,9721.02,8511.77,7300.25,6086.72,4871.4,3654.75,2437.11,1218.71,0,
300,191527,191269,190469,189169,187308,184937,182090,178697,174872,170499,165676,160397,154679,148555,141985,135037,127709,120037,112025,103716,95093.8,86219.1,77118,67787.7,58278.3,48609.4,38795.2,28876.7,27876.9,26869.4,25853.8,24831.3,23802,22765.8,21723.7,20674.8,19620.7,18560.8,17496,16426.2,15352.1,14273.5,13190.8,12104.5,11015,9922.26,8826.91,7728.84,6628.72,5526.8,4423.26,3318.53,2212.9,1106.59,0,
325,174154,173919,173191,172009,170315,168157,165567,162480,158999,155021,150633,145830,140628,135057,129081,122762,116097,109120,101834,94277.4,86437.9,78368.7,70094.1,61611.6,52966.6,44177.1,35255.9,26240.2,25331.4,24415.6,23492.5,22563.2,21627.8,20686,19739,18785.7,17827.8,16864.7,15897,14924.9,13948.9,12968.8,11985,10998,10008,9015.14,8019.9,7022.19,6022.65,5021.46,4018.81,3015.09,2010.56,1005.41,0,
350,158348,158134,157472,156397,154856,152893,150537,147730,144563,140945,136954,132586,127855,122789,117354,111607,105546,99202.1,92577.1,85706.5,78578.5,71241.9,63718.7,56006.8,48147.4,40156.6,32046.4,23850.4,23024.3,22191.8,21352.7,20507.9,19657.6,18801.5,17940.7,17074.2,16203.5,15328.1,14448.5,13564.9,12677.8,11787,10892.8,9995.74,9095.91,8193.54,7288.99,6382.2,5473.75,4563.8,3652.53,2740.29,1827.31,913.771,0,
375,143973,143778,143176,142198,140797,139012,136869,134316,131437,128146,124517,120545,116243,111636,106694,101469,95958.1,90189.4,84165.6,77918.7,71437.8,64767.4,57927.4,50916,43770.5,36505.7,29132.4,21681.2,20930.1,20173.3,19410.5,18642.5,17869.5,17091.2,16308.7,15521,14729.4,13933.6,13134.1,12330.9,11524.4,10714.7,9901.8,9086.32,8268.35,7448.07,6625.81,5801.52,4975.71,4148.56,3320.2,2490.96,1661.05,830.63,0,
400,130900,130723,130176,129287,128012,126389,124441,122119,119501,116509,113210,109598,105686,101497,97004,92252.8,87242.1,81997.1,76520.2,70840.5,64948,58883.4,52664.6,46289.9,39793.4,33188.5,26485,19710.7,19027.9,18339.8,17646.3,16948,16245.3,15537.8,14826.3,14110.2,13390.6,12667.1,11940.2,11210,10476.9,9740.69,9001.71,8260.35,7516.73,6771.02,6023.5,5274.14,4523.4,3771.44,3018.38,2264.52,1510.05,755.121,0,
425,119014,118853,118355,117546,116388,114912,113141,111030,108649,105929,102929,99644.7,96088.3,92279.6,88194.1,83874.3,79318.5,74549.7,69570.1,64406.1,59048.8,53534.8,47880.8,42085.1,36178.6,30173.6,24078.9,17919.9,17299.1,16673.6,16043,15408.2,14769.3,14126.1,13479.2,12828.2,12174,11516.2,10855.3,10191.5,9524.95,8855.65,8183.81,7509.81,6833.76,6155.8,5476.2,4794.92,4112.4,3428.76,2744.12,2058.76,1372.84,686.509,0,
450,108206,108060,107607,106872,105818,104477,102866,100947,98782.5,96309.2,93581.3,90595.5,87362,83899.1,80184.6,76257,72114.9,67779.1,63251.7,58556.6,53685.8,48672.6,43532,38262.6,32892.6,27433,21891.8,16292.2,15727.8,15159,14585.7,14008.6,13427.7,12842.9,12254.8,11662.9,11068.1,10470.1,9869.26,9265.7,8659.72,8051.22,7440.41,6827.63,6212.99,5596.61,4978.74,4359.36,3738.83,3117.29,2494.85,1871.74,1248.13,624.147,0,
475,98379.6,98246.6,97835,97166.6,96208.7,94989,93524.7,91779.5,89811.7,87562.9,85082.8,82368.1,79428.2,76279.8,72902.5,69331.6,65565.6,61623.6,57507.3,53238.6,48810.1,44252.1,39578.4,34787.6,29905.2,24941.4,19903.5,14812.4,14299.3,13782.2,13261,12736.3,12208.1,11676.4,11141.8,10603.6,10062.8,9519.13,8972.87,8424.13,7873.18,7319.95,6764.62,6207.49,5648.68,5088.28,4526.54,3963.41,3399.24,2834.15,2268.25,1701.73,1134.77,567.457,0,
500,89445.4,89324.5,88950.3,88342.6,87471.6,86362.7,85031.3,83444.6,81655.5,79611,77356,74887.9,72214.9,69352.4,66281.9,63035.2,59611.2,56027.2,52284.7,48403.6,44377.3,40233.3,35984,31628.2,27189.3,22676.3,18095.9,13467.2,13000.6,12530.5,12056.6,11579.6,11099.4,10616,10129.9,9640.59,9148.91,8654.59,8157.94,7659.04,7158.13,6655.14,6150.24,5643.72,5135.66,4626.16,4115.43,3603.44,3090.51,2576.75,2062.24,1547.18,1031.71,515.919,0,
525,81322.4,81212.6,80872.3,80319.8,79528,78519.7,77309.2,75866.7,74240,72381.1,70331,68086.9,65656.7,63054.2,60262.5,57310.6,54197.6,50939,47536.4,44007.8,40347.1,36579.4,32716.1,28755.9,24720,20616.9,16452.5,12244.1,11819.9,11392.5,10961.7,10527.9,10091.4,9651.85,9209.89,8765.05,8318.03,7868.6,7417.06,6963.46,6508.04,6050.73,5591.69,5131.17,4669.24,4206.02,3741.67,3276.18,2809.84,2342.74,1874.95,1406.67,938.009,469.064,0,
550,73937.2,73837.3,73527.9,73025.6,72305.7,71389,70288.4,68976.9,67497.9,65807.8,63943.9,61903.6,59694.1,57327.9,54789.7,52106,49275.6,46313,43219.4,40011.2,36683,33257.5,29744.9,26144.4,22475.1,18744.5,14958.3,11132.2,10746.5,10357.9,9966.17,9571.82,9174.9,8775.3,8373.48,7969.04,7562.61,7154,6743.46,6331.06,5917,5501.23,5083.87,4665.17,4245.2,3824.04,3401.87,2978.65,2554.66,2129.98,1704.67,1278.92,852.822,426.466,0,
575,67222.6,67131.8,66850.5,66393.8,65739.2,64905.8,63905.2,62712.7,61368.1,59831.5,58136.8,56281.9,54273,52121.7,49814,47374,44800.7,42107.1,39294.4,36377.6,33351.6,30237.2,27043.6,23770.1,20434,17042.3,13599.9,10121.2,9770.54,9417.22,9061.08,8702.55,8341.68,7978.37,7613.04,7245.32,6875.81,6504.3,6131.05,5756.1,5379.65,5001.63,4622.18,4241.5,3859.67,3476.76,3092.92,2708.14,2322.66,1936.54,1549.86,1162.77,775.372,387.736,0,
