
Iteration,NormDifference
        1, 0.000000e+000
        2, 1.#INF00e+000
        3, 5.117225e-001
        4, 5.362644e-001
        5, 1.786225e-001
        6, 1.112783e-001
        7, 5.123983e-002
        8, 2.763565e-002
        9, 1.376100e-002
       10, 7.139811e-003
       11, 3.627573e-003
       12, 1.863003e-003
       13, 9.515338e-004
       14, 4.873677e-004
       15, 2.492667e-004
       16, 1.275826e-004
       17, 6.527626e-005
       18, 3.340432e-005
       19, 1.709257e-005
       20, 8.746489e-006
       21, 4.475577e-006
       22, 2.290182e-006
       23, 1.171894e-006
       24, 5.996637e-007
       25, 3.068503e-007
       26, 1.570167e-007
       27, 8.034612e-008
       28, 4.111348e-008
       29, 2.103795e-008
       30, 1.076522e-008
       31, 5.508613e-009
       32, 2.818781e-009
       33, 1.442387e-009
