Y Coordinates:
6,3,3,0,0,6,3,2.21472,2.47315,2.53287,2.39377,3.54752,3.80039,3.55472,3.32898,1.73181,1.59586,0.543745,0.720859,1.47975,1.33907,0.465398,0.609274,4.665,5.32149,6,6,5.72496,5.21378,6,6,5.00004,4.79905,4.64878,4.4005,4.99856,0,0,0.831158,0.335328,0,1.21665,1.03483,0.271872,0,1.14906,0.898411,1.37961,3.76535,4.12776,3.94591,4.2995,4.05441,3.27376,2.26683,2.07054,2.76643,3.16449,2.73657,1.95679,3,3,0.167664,1.71036,1.86571,4.52638,4.25894,5.46958,5.60443,5.80222,5.45063,2.29868,2.52707,2.54948,2.36657,3.46234,3.67095,3.40108,1.73159,1.53136,0.425125,0.722766,1.543,1.35316,0.484089,0.726244,5.4701,5.68331,5.79752,5.41015,5.5854,5.86764,5.64644,5.49498,5.08997,4.86418,5.00935,4.75845,4.31489,4.53044,4.57933,4.77531,4.44616,5.27052,5.00896,5.26787,4.74084,4.68556,4.97388,5.16073,5.30882,0.234485,0.241529,0.244313,0.465228,1.14679,0.986854,0.234632,0.510158,0.639321,0.6992,1.26432,1.03695,1.39163,1.5131,4.08611,4.11743,4.36445,4.22716,4.15495,4.04844,4.47136,3.82753,3.8556,3.62408,3.60858,3.85231,3.6252,3.95783,3.38561,3.41401,1.9308,2.16643,3.18469,2.77279,2.7604,1.78761,2.08576,2.76814,2.54301,2.34164,2.51377,3.21155,2.76789,1.95001,1.72074,1.93178,1.67715,2.13914,2.19276,0.825135,1.13921,0.940989,1.2144,3.24227,3.21773,
Volumes:
0.0149015,0.0247194,0.0304489,0.00753676,0.0159233,0.00616284,0.066975,0.0282315,0.0268254,0.0192208,0.0155393,0.0191033,0.0439384,0.0201642,0.0252806,0.0146359,0.0182905,0.0308054,0.0093972,0.0198946,0.0129156,0.0104398,0.0194899,0.0119976,0.0269356,0.0202566,0.0261108,0.0345654,0.0200777,0.0262868,0.00836101,0.0168882,0.00854934,0.0466361,0.0148657,0.0386295,0.0210138,0.0248887,0.0266759,0.00981434,0.0200964,0.0101585,0.0129079,0.0280841,0.029018,0.0167628,0.0317863,0.0160647,0.0125979,0.0125603,0.0112033,0.0261556,0.0170611,0.0387244,0.01156,0.0137493,0.0248373,0.0114431,0.0279332,0.0362883,0.0537337,0.0540551,0.0108592,0.0159741,0.016398,0.0134878,0.0123097,0.015666,0.0135301,0.0292937,0.0392735,0.0521283,0.0507386,0.0351808,0.0437792,0.0454432,0.0450684,0.0344193,0.0392916,0.0508905,0.0326105,0.0668234,0.054822,0.0299671,0.0406666,0.0279997,0.0357657,0.0471792,0.0572672,0.0421848,0.0473642,0.0571423,0.0557549,0.053194,0.0244453,0.0277035,0.0622246,0.0514707,0.0676978,0.0429407,0.0524038,0.0409101,0.0511627,0.0620345,0.057017,0.0550327,0.0457634,0.034436,0.0503908,0.0355229,0.0393565,0.0496466,0.0520992,0.0461759,0.0432834,0.0373848,0.0395418,0.0487031,0.0721515,0.0396377,0.0367208,0.0606043,0.0402359,0.043097,0.065047,0.0288863,0.0600885,0.0507353,0.0285037,0.0443488,0.0518915,0.0466496,0.050717,0.0543946,0.045313,0.0428503,0.0473151,0.040716,0.0463535,0.0547009,0.0361228,0.0428062,0.0435901,0.0270092,0.0389419,0.0525093,0.0480274,0.044482,0.0404579,0.042394,0.049403,0.0468775,0.0399253,0.05022,0.0501916,0.0384532,0.0610349,0.0456464,0.0320415,0.0507995,0.0395293,0.0578185,0.0912043,0.0605718,0.0442791,0.0447088,

 Time(s),  P(Pa) on vertices
0,0,435167,435167,435167,435167,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,0,435167,435167,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,
25,0,235669,235874,435138,435137,0,235907,395745,363325,352853,374276,212013,197534,211609,222866,424288,428019,435015,434844,430130,431982,435049,434961,131903,69940.5,0,0,28701.8,80643.4,0,0,101320,119954,133515,154261,101506,435140,435139,434680,435097,435140,433054,434062,435113,435137,433517,434559,431520,199472,175236,187898,162334,180469,225390,390040,407307,303735,229775,311402,415315,235757,235720,435129,425054,419240,143832,165407,54976.8,41163.3,20666.5,56952.4,386610,354170,349724,378537,216380,205085,219396,424402,429336,435061,434846,429138,431852,435043,434820,54928,33005.9,21149.1,60994.4,43110.1,13832.8,36841.9,52397.7,92657.6,113988,100424,123628,161156,143529,139424,122124,150580,75034.7,100459,75260.7,125241,130127,103798,85809.7,71180.4,435121,435119,435121,435050,433534,434260,435119,435033,434935,434866,432784,434045,431387,429799,178239,176084,157164,167846,173190,180906,148466,195711,193908,207817,208667,194139,207739,187092,220228,218777,416105,400088,228943,301769,305317,422424,406390,303125,350996,381693,356479,227872,303373,415198,424763,416468,426001,402135,397747,434661,433604,434455,433128,226662,227596,
50,0,136530,136610,431826,431847,0,136623,315932,268395,255522,283726,118574,108962,118304,126271,376695,388476,428902,426150,396767,405184,429604,427932,70312.7,36729.4,0,0,15007.9,42423.9,0,0,53531.4,63697.8,71170.8,82940.4,53622.8,431883,431865,423966,430693,431874,411160,418182,431140,431834,414029,422477,402874,110269,95231.9,102957,87600.2,98392.9,128135,306930,337236,200503,131594,208238,353115,136565,136550,431548,378824,363090,77004.6,89411.6,28815.4,21545.1,10801.4,29848.9,301477,256903,251804,289329,121625,113933,123773,376881,393322,429946,426168,392598,404473,429463,425917,28789,17266.2,11055.1,31995.7,22570.3,7229.39,19274.1,27453.8,48870.6,60428.6,53049,65720.3,86908.4,76824.9,74500.4,64888.1,80823.1,39434.1,53068.4,39561.6,66604.3,69317.7,54872.7,45192.5,37392.7,431321,431299,431299,429629,414191,419777,431299,429260,427509,426481,409222,418041,402263,394915,97037.9,95716.3,84611.2,90842.2,94022.6,98654.2,79625.8,107832,106694,115733,116308,106834,115685,102460,124341,123326,355592,323490,130946,198703,202078,371354,335259,199983,253243,293916,259782,130099,200122,353374,377917,355908,381773,327402,319407,423933,414587,421393,411446,129135,129893,
75,0,95000.6,95037.8,417432,417487,0,95044.2,259561,212000,199878,227071,80777.4,73606.2,80574.6,86698,329092,344461,410601,404764,356047,368454,412215,408514,46506,24067.5,0,0,9807.55,27829.3,0,0,35210.3,42030,47072.8,55151.8,35267.7,417576,417531,400356,414726,417552,377856,389707,415775,417453,382547,397416,364976,74588.7,63745.6,69266.8,58382.1,65992.7,88156.7,250332,282647,149786,90938.6,156567,300238,95016.7,95010,416757,331754,312279,51069.6,59652.8,18858.9,14088.3,7056.59,19534.4,244729,201119,196423,232453,83108.1,77300.1,84763.1,329260,351103,413015,404785,350076,367345,411891,404347,18841.3,11286.5,7223.03,20951.1,14761.2,4722.85,12599.5,17963.7,32110.2,39831.1,34889.4,43393.9,57897.9,50943.1,49349.1,42830.9,53686.8,25851.9,34902.5,25939,43988.5,45828,36105.9,29666.3,24507.2,416211,416155,416153,412271,382807,392515,416158,411417,407608,405464,374605,389475,364042,353204,65026.5,64079.5,56308.1,60653.4,62896,66177.4,52865.7,72792.7,71964.5,78637.3,79070.6,72064.7,78603.3,68909,85193.2,84416.9,303398,267584,90420.7,148262,151160,322357,280396,149358,197753,237037,203832,89738.2,149450,300765,330570,303576,335572,271872,263236,400381,383422,395349,378231,88960.2,89575.9,
100,0,74153.5,74173.8,393367,393441,0,74177.5,221596,177249,166264,191180,62272.1,56460.3,62107.3,67146.4,290749,306978,384273,376759,319586,333418,386412,381575,35222.8,18124.7,0,0,7373.62,20971.7,0,0,26577.6,31786.4,35651.7,41906.2,26619.6,393563,393503,371187,389738,393531,344194,358179,391136,393395,349662,367500,329509,57259.6,48629.7,53002.6,44421.2,50404.1,68357.8,212893,243958,121609,70698.6,127547,261167,74162.2,74158.6,392457,293505,273429,38742.4,45417.2,14191.7,10596,5304.43,14699.6,207603,167367,163155,196099,64184.3,59447.6,65548.1,290890,314146,387475,376777,313014,332152,385982,376257,14178.3,8487.01,5429.84,15771.1,11103.3,3550.1,9474.55,13516.2,24221.7,30104.2,26333.7,32831.4,44042.2,38643,37409.8,32399.2,40766.8,19474.1,26343.8,19541.4,33286.3,34700.1,27259.7,22365.6,18458.2,391722,391647,391644,386484,349958,361550,391652,385350,380403,377659,340373,357912,328448,316371,49639.9,48888.8,42805.6,46200.2,47963.2,50549.5,40131.5,55813.1,55150.9,60529.1,60882,55230.1,60502.2,52718.2,65899.1,65261.9,264462,229291,70263.9,120297,122811,283747,241728,121246,164353,200374,169824,69689.3,121315,261802,292254,264553,297521,233466,225115,371258,350657,364940,344586,69033.4,69554.2,
125,0,61949.8,61962.7,364717,364797,0,61965.1,194348,153714,143795,166421,51657.8,46702.7,51517.1,55848.2,259844,275680,354858,346828,288161,302016,357173,351970,28923.2,14834,0,0,6029.04,17170.7,0,0,21781.4,26079.4,29275.2,34475.7,21815.3,364931,364865,340920,360772,364896,312950,327332,362286,364747,318542,337024,298087,47385.6,40099.2,43781.5,36573.5,41590.9,56894.5,186328,215242,103816,58929.6,109084,231401,61955.4,61953.1,363725,262508,243152,31843.5,37407.5,11610,8665.77,4336.72,12025.4,181449,144782,140998,170882,53298.8,49246.7,54471.9,259965,282748,358324,346844,281620,300734,356708,346308,11599,6940.1,4439.39,12904.5,9081.17,2902.4,7747.74,11056.6,19843.1,24690.1,21580.8,26943.2,36256.4,31760.2,30735.1,26585.6,33525.9,15941,21589.1,15996.9,27318.9,28489.7,22343.4,18316.6,15108,362925,362842,362840,357250,318840,330826,362848,356022,350715,347790,309029,327061,297013,284920,40947.8,40314.8,35225.5,38062.4,39540.8,41713,32997.8,46156.5,45595.9,50167.8,50469.5,45662.5,50145.2,43541.5,54772.2,54225.3,234595,201502,58552.2,102663,104882,253065,213135,103499,142077,174798,146999,58052.4,103556,232056,261287,234641,266418,205413,197616,341014,319548,334334,313329,57481.7,57935.6,
150,0,53790.5,53799.7,335079,335157,0,53801.4,173239,136192,127218,147750,44679,40329,44555.4,48374,233993,248907,325307,317402,260748,273968,327599,322461,24874.1,12733.6,0,0,5172.57,14742.7,0,0,18711.5,22417.8,25176.7,29680.4,18740.3,335292,335226,311606,331163,335257,284469,298372,332664,335108,289860,307791,270212,40929.1,34566.1,37777.1,31500.2,35865.7,49298.8,165905,192484,91209.3,51103.9,95930.9,207406,53794.5,53792.8,334093,236489,218370,27400.1,32225.2,9963.75,7435.66,3720.44,10320.1,161441,128106,124692,151794,46124.6,42561,47159.2,234099,255600,328740,317415,254525,272738,327139,316897,9954.25,5954.54,3808.59,11075.8,7792.37,2489.94,6647.54,9488.32,17042.8,21219.2,18538.8,23163.4,31224.6,27327.6,26440.1,22854.5,28856.7,13685.2,18545.9,13733.6,23487.6,24499.2,19195.7,15728.8,12969.4,333299,333216,333214,327676,290146,301762,333222,326459,321225,318348,280683,298112,269183,257646,35305.1,34752.9,30330.6,32794.3,34080.6,35971.9,28399.4,39852.1,39361.8,43369.1,43634.3,39419.9,43349.4,37567.6,47423.4,46941.6,210402,179810,50769.4,90180.4,92164,227634,190532,90927.9,125666,155365,130112,50326,90976.2,208039,235339,210426,240168,183418,176239,311706,290824,305163,284825,49819.5,50222.7,
175,0,47712.1,47719.2,306337,306411,0,47720.6,155840,122118,113983,132625,39545.9,35664.7,39435.6,42850.5,211643,225450,297056,289571,236451,248772,299232,294360,21948.1,11224.3,0,0,4558.12,12996.9,0,0,16500.5,19775.6,22215.1,26204.1,16525.8,306539,306477,284095,302615,306506,258591,271634,304040,306364,263642,280493,245269,36200.5,30539,33393.7,27817.4,31693.9,43678.7,149153,173451,81416.6,45298.2,85675.8,187124,47715.1,47713.9,305399,213948,197227,24184,28460.9,8781.6,6552.82,3278.39,9095.61,145083,114786,111696,136296,40838.1,37655.5,41763.6,211737,231662,300315,289583,230661,247623,298795,289097,8773.21,5247.36,3356.09,9762.24,6867.31,2194.08,5858.08,8362.37,15027.2,18716.2,16348,20434.9,27573,24119.7,23333.7,20161.7,25474,12063.7,16354.4,12106.6,20721.4,21616.3,16928.1,13867.2,11432.4,304644,304565,304563,299304,263908,274820,304571,298148,293190,290467,255041,271390,244307,233556,31195.6,30704.6,26780.5,28965.9,30108.1,31788.3,25069,35240.4,34803.9,38376.3,38613.1,34855.5,38358.8,33207.4,41999.5,41568.8,189894,161845,44998.1,80490.7,82277.6,205767,171659,81163.8,112578,139546,116604,44600.3,81206.4,187718,212883,189906,217352,165149,158581,284193,264542,278015,258920,44145.8,44507.7,
200,0,42812.2,42818.1,279329,279398,0,42819.3,140887,110212,102828,119764,35444.2,31950.6,35344.9,38422.5,191891,204562,270698,263750,214678,226025,272721,268196,19638.8,10037.8,0,0,4075.63,11623.7,0,0,14759.5,17692.4,19877.7,23454.2,14782.1,279517,279459,258671,275866,279486,235083,247134,277192,279354,239746,255331,222797,32433,27344.6,29909.3,24901.5,28381.9,39169.3,134800,156953,73303,40631.3,77159.1,169435,42814.7,42813.7,278456,194003,178683,21642.8,25479.1,7852.75,5859.4,2931.31,8133.52,131094,103556,100752,123097,36608.5,33742.2,37442.6,191976,210271,273728,263760,209350,224965,272315,263311,7845.23,4692,3000.81,8729.92,6140.67,1961.79,5238.09,7477.75,13440.9,16743.5,14623.1,18283,24682.1,21585.1,20880.4,18038.2,22799.3,10788.8,14628.8,10827.2,18539.6,19341.4,15142.4,12402.7,10224,277754,277680,277678,272788,239992,250081,277685,271714,267108,264582,231803,246909,221910,212010,27934.3,27493.1,23971.2,25932.3,26957.7,28466.6,22436.2,31569.3,31176.8,34391,34604.2,31223.2,34375.2,29741.8,37655.1,37267,171974,146361,40360.5,72465.8,74082.5,186505,155316,73074.7,101553,126054,105205,40001.4,73112.7,169984,193026,171981,197127,149377,143385,258764,240576,253035,235384,39591,39917.9,
225,0,38653.9,38659,254350,254414,0,38660,127709,99812.4,93104.5,108496,31982.1,28822.5,31892.3,34677.3,174209,185785,246411,240025,195037,205423,248272,244111,17704.8,9046.63,0,0,3672.86,10476.3,0,0,13303.7,15948.8,17920.1,21147.9,13324,254524,254470,235359,251165,254495,213721,224771,252384,254374,217995,232292,202468,29258.9,24660.7,26977.8,22454.4,25597.7,35353.5,122171,142341,66302.1,36677.7,69800.2,153713,38656.1,38655.2,253547,176137,162152,19513,22976,7077.05,5280.46,2641.6,7330.07,118799,93765.6,91219.9,111525,33035.6,30442.7,33790.5,174285,191006,249198,240034,190163,204452,247898,239623,7070.27,4228.35,2704.24,7867.7,5533.97,1767.9,4720.49,6739.05,12114.7,15093,13180.6,16481.6,22256.3,19460.9,18824.9,16260.8,20556.7,9723.59,13185.8,9758.25,16713,17436.4,13648.9,11178.6,9214.5,252901,252834,252832,248334,218220,227474,252838,247345,243111,240790,210714,224565,201656,192594,25193.4,24794.7,21614.6,23385.2,24311.3,25674.3,20229,28477.9,28123.2,31029.4,31222.2,28165.1,31015.1,26826.5,33982.7,33631.5,156032,132693,36432.4,65543.2,67009.2,169290,140849,66095.3,91947.2,114214,95264.1,36107.1,66129.6,154217,175245,156036,178991,135440,129983,235446,218755,230184,213995,35735.4,36031.5,
