Y Coordinates:
0,3,0,3,6,6,3,5.59979,5.7999,4.04305,0.26101,0.521976,1.12906,1.02001,2.8404,1.87201,2.02705,0.461895,0.230948,1.19537,1.06366,4.20103,1.82973,1.32842,0.85134,0.64657,0,1.59689,3,3.095,2.51863,2.68117,3,2.22073,1.3714,1.66006,0.917591,0.741418,0,0,2.02792,2.26661,2.6184,2.44639,2.905,2.80256,3.19876,3,3.26125,3.39386,3.59613,3.81712,4.34312,4.47775,3.94391,3.67676,4.57482,4.764,4.3868,4.60676,4.84864,4.14333,3.39709,5.1103,5.24711,5.37771,5.57928,6,4.95317,5.14454,5.42631,6,5.78964,6,6,0,3,5.60473,5.80744,3.96165,0.149521,0.443272,1.15467,1.00356,1.82209,2.01193,0.191709,0.396348,1.20035,1.01946,0.571916,0.795086,0.816194,1.37726,1.38239,0.607757,2.11502,2.03614,1.84682,1.73277,1.60004,1.61496,2.82996,2.84045,2.60358,2.32678,2.6324,2.41723,2.20256,2.69923,2.54156,0.984795,0.802181,0.844091,1.31922,1.36367,1.11986,1.23068,1.02997,1.61239,0.167491,0.335738,0.590717,0.654875,0.332641,1.9271,2.01819,2.24465,2.3225,2.57643,2.3975,3.05729,3.19745,3.31262,3.40318,3.42378,3.65842,3.53623,3.46769,3.801,3.69664,4.19705,4.07936,4.05137,4.08461,3.89535,3.8971,3.66358,4.40362,4.58247,4.73389,5.00316,4.92886,4.4598,4.67946,5.15506,5.03324,5.21378,5.16667,4.94829,5.12963,5.39106,5.40272,5.62326,5.65717,5.41285,5.8617,5.77639,5.79991,5.60474,5.38793,4.66743,4.82725,4.58442,4.76937,4.43605,4.27115,4.28132,4.2119,3.21932,2.90793,3.13914,3.23614,2.76955,1.51552,1.79827,
Volumes:
0.011013,0.00912376,0.0119688,0.0132474,0.0117458,0.0075032,0.0269318,0.0202218,0.0220134,0.025315,0.0346509,0.0146036,0.016861,0.0107579,0.0156176,0.0223493,0.0190519,0.0210377,0.0244123,0.015275,0.0190513,0.020131,0.0201628,0.0210424,0.0215464,0.0200158,0.0161297,0.0279437,0.0351864,0.0107525,0.0261539,0.0189545,0.0239576,0.028283,0.0274205,0.0258318,0.0136907,0.017568,0.022159,0.0140744,0.0252175,0.0194544,0.0154857,0.0150606,0.00872386,0.0141089,0.0192629,0.029996,0.0181627,0.0176515,0.0171511,0.0198899,0.0156167,0.0138235,0.0229278,0.028378,0.017101,0.0220236,0.0202612,0.012816,0.026396,0.0176336,0.0243947,0.0129225,0.0129893,0.0177258,0.0230307,0.00961854,0.0173905,0.0259259,0.0248335,0.0230205,0.0179425,0.0245335,0.0224663,0.0243208,0.021485,0.0431404,0.0435095,0.0623757,0.0421063,0.0431305,0.0349323,0.0278378,0.0421774,0.0322945,0.0469219,0.0374691,0.0359903,0.0433102,0.0474305,0.0459516,0.044249,0.0408016,0.0328177,0.0422565,0.04826,0.0348438,0.0431303,0.0327718,0.0505885,0.0563106,0.0358298,0.0407658,0.0583012,0.0573313,0.0471805,0.0450923,0.0496235,0.0340387,0.0322957,0.027699,0.0390015,0.033051,0.0436302,0.0496501,0.030314,0.0310254,0.0476632,0.0483739,0.034001,0.0612496,0.0489601,0.0407381,0.048435,0.0355495,0.0516109,0.0327443,0.0432767,0.0320807,0.0264348,0.0192243,0.0423051,0.0438745,0.0424699,0.0472884,0.0611187,0.0412961,0.0363005,0.0367399,0.0570065,0.0401459,0.0475873,0.0192095,0.030596,0.0438483,0.0486012,0.0546042,0.0473032,0.0255661,0.03701,0.0374549,0.045389,0.0409206,0.0420863,0.0553058,0.0451407,0.0303932,0.0394341,0.0252593,0.0504998,0.0455371,0.0449473,0.0322118,0.0482072,0.0406571,0.0295969,0.0328102,0.0408058,0.0405221,0.048638,0.0364641,0.0372213,0.0417435,0.0602248,0.0662986,0.0342295,0.0415737,0.0387189,0.0378899,0.0358097,0.0239485,0.0478965,0.0366685,0.0256448,0.0337008,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,435167,435167,435167,0,435167,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,
25,435140,235687,435140,235726,0,0,235677,41608.2,20883.2,181205,435120,435023,433661,434147,284287,419213,410681,435057,435123,433247,433977,169759,420968,432164,434630,434928,435139,428056,235826,232334,355933,323732,235646,395027,431735,426619,434479,434819,435139,435138,410496,390389,336846,367042,265259,294052,228360,235791,225664,219700,209233,196213,158778,147825,188044,204737,139729,123071,155303,136935,115421,174042,219567,90692.9,77278.2,64237.9,43711.4,0,105700,87353.8,59333.7,0,21951,0,0,435140,235671,41101.2,20097.1,186889,435131,435062,433503,434208,421167,411542,435129,435081,433222,434146,434992,434738,434698,431598,431514,434964,404558,409855,420177,424329,427893,427702,287324,284545,340733,383755,334105,371160,396838,319676,351361,434264,434720,434642,432246,431762,433684,432989,434125,427772,435131,435103,434978,434920,435102,416433,411383,392497,383976,345088,373924,233772,228401,223456,219237,218243,205840,212470,216059,197171,203648,170035,178629,180574,178288,191224,191156,205463,153997,139005,125751,100942,107968,149332,130624,86358,98101.4,80577.2,85169.5,106100,88824.9,62886,61718.3,39184.2,35698.4,60693.9,14437.1,23325,20882,41096.5,63203.4,131653,117350,138853,122680,151372,164405,163591,168948,227489,264956,230673,226836,302972,429478,422146,
50,431897,136587,431915,136600,0,0,136582,21792.5,10923.1,98890.8,431286,429040,414982,418777,181154,362628,343577,429717,431358,412230,417339,92018.2,367210,405947,423429,427375,431852,388506,136641,133754,258828,221611,136571,314827,403634,383455,421796,425754,431880,431833,343347,307196,236395,273568,163381,190978,130540,136625,128492,124052,116770,108233,85593.6,79313.2,103081,113748,74715.4,65447.8,83583.6,73157,61233,94565.1,123947,47831.3,40657.5,33729.2,22899.4,0,55933.6,46042.2,31133.3,0,11482.1,0,0,431899,136580,21525.7,10511.6,102357,431639,429853,413919,419298,367838,345479,431534,430289,412044,418770,428457,424703,424225,403168,402814,427959,331390,342139,365246,376669,388099,387178,184017,181263,240298,296761,233167,279224,317828,217272,253586,419829,424515,423581,406389,403931,415241,410642,418527,387376,431617,430808,428203,427232,430799,356120,344903,310747,297329,245966,283086,134918,130578,126810,123723,123008,114464,118977,121460,108859,113010,92187,97331.1,98519.2,97116.7,105073,105018,114238,82820.8,74323,66932.9,53361.5,57168.5,80166.9,69626.9,45502.8,51821.4,42415.8,44876.8,56162.3,46827.1,33014.5,32394.7,20520,18686.9,31853,7550.64,12202.3,10922.5,21523.9,33182.1,70205.7,62296.7,74234.3,65212.9,81312.8,88870.9,88401.1,91537,129872,162792,132398,129349,199717,394171,370404,
75,417598,95044.5,417645,95049.8,0,0,95042,14254.7,7138.97,66358.8,416100,410918,384087,390692,132891,311608,289559,412439,416284,379531,388145,61489.6,317161,369542,399328,407309,417488,344472,95069.4,92706.7,202883,168621,95037.1,258453,365981,337662,396195,403926,417560,417442,289347,250517,182091,217083,117702,141498,90097.5,95061.2,88474.4,84986.7,79434.6,73105.5,57002.3,52665.4,69359.9,77167.1,49507.8,43219.2,55607.5,48448.9,40375.9,63284.4,84903.5,31423.2,26669.7,22097.3,14981,0,36823,30236.2,20388.1,0,7504.5,0,0,417606,95040.5,14079.7,6869.93,68834.2,416970,412751,382326,391626,318001,291745,416711,413760,379213,390696,409633,401819,400886,365365,364861,408556,276025,288035,314830,329023,343994,342632,135344,132943,185498,239839,179120,222629,261578,164713,198059,392609,401460,399622,370233,366500,384576,376965,390219,342886,416913,414965,409076,406998,414949,303962,290992,254243,240488,190917,226408,93652.4,90129.1,87140.9,84734.1,84180.6,77695.9,81101.9,82990.4,73568.6,76611.4,61610.4,65248.6,66098.1,65093,70802.7,70758.3,77536.2,55075.2,49245.8,44224.6,35107.5,37650.3,53250.8,46046,29876.1,34078.5,27832.4,29465.2,36980.8,30755.6,21627.1,21218.4,13421.2,12219.1,20861.9,4934.53,7975.83,7138.59,14078.9,21737.3,46441.3,41093.8,49184,43053.1,54032.7,59285.5,58960,61150.9,89565.9,117115,91602,89142.3,149090,352432,321115,
100,393587,74183.5,393650,74186.2,0,0,74182,10722.2,5367.06,50693.4,391560,384692,351441,359331,106843,272703,250674,386690,391813,346108,356268,46855.8,278366,334612,369912,380011,393437,306978,74197.2,72192.5,168950,138244,74179.5,220567,330574,299686,366023,375681,393536,393375,250485,213032,150254,181948,93697.2,114377,69987.3,74192.4,68631.3,65730,61179.5,56067.1,43347.4,39978.6,53072.8,59336.4,37533.6,32698.1,42260.9,36718.7,30519.3,48266.1,65660.2,23698.8,20095.2,16637.2,11269.5,0,27806.9,22798.3,15346.4,0,5641.96,0,0,393598,74181.2,10590.3,5164.74,52653.1,392739,387103,349380,360459,279264,252850,392387,388442,345733,359343,383016,373023,371858,329919,329366,381619,237416,249214,276012,290667,306499,304983,108966,106870,153229,202970,147593,187073,223537,134773,164625,361662,372579,370276,335404,331192,352042,343136,358747,305251,392660,390042,382290,379606,390023,265011,252059,216586,203612,158169,190557,72992.3,70014.4,67516.8,65522,65065,59762.6,62539.5,64085.3,56440.8,58883.9,46951.5,49816.1,50489.1,49691.9,54224,54186.5,59636.9,41845,37334,33470.2,26501.1,28438.1,40431.5,34867.6,22524,25717.2,20975.5,22214.3,27929.3,23191.8,16282.2,15973.3,10094.6,9189.04,15704.1,3709.62,5996.58,5366.78,10589.8,16365.4,35172.8,31069.6,37285.7,32567.3,41034.6,45129.9,44876.5,46589.8,69542.4,93156.7,71257.3,69184.7,120996,315663,282440,
125,364952,61971.1,365021,61972.7,0,0,61970.1,8768.96,4388.06,41832.6,362741,355311,320353,328512,90729.8,242437,221528,357465,363018,314890,325335,38609.9,247867,303202,339578,350293,364790,275674,61979.8,60229.5,146206,118639,61968.6,193408,299126,268512,335489,345676,364897,364721,221360,186440,129391,158001,79137.1,97411.5,58307.9,61976.6,57133.2,54625.5,50722.6,46371.5,35676.7,32870.4,43837.4,49148.8,30837.2,26832.2,34770.1,30162,25031.1,39792.3,54564.9,19411.8,16451.1,13614.1,9217.08,0,22793.6,18671.6,12556,0,4612.86,0,0,364966,61969.6,8661,4222.62,43482.4,364029,357911,318242,329685,248748,223590,363644,359361,314503,328528,353509,342861,341632,298485,297936,352012,209071,220172,245621,259762,275219,273702,92603,90745.3,132026,177171,127004,162675,196156,115537,142321,330942,342394,339962,304005,299764,320983,311859,327899,273965,363941,361092,352730,349858,361073,235112,222820,189734,177776,136499,165849,60926.7,58331.7,56167.6,54446.7,54053.2,49511,51886.1,53211,46689.3,48761.9,38690.5,41094.9,41661.6,40989.8,44810.6,44778,49405.5,34422.5,30672.8,27471.1,21718.4,23314.2,33246.8,28627.2,18445.7,21072.5,17173.8,18192,22895.5,18994.7,13323.2,13069.8,8255.49,7514.19,12849.2,3032.88,4902.93,4387.83,8660.66,13391.4,28880.4,25486,30632.5,26722.4,33747.2,37165.8,36954.4,38386.9,57922.1,78646.4,59413.8,57610.5,103271,284284,251795,
150,335310,53806.8,335378,53807.8,0,0,53806,7524.13,3764.51,36075.2,333112,325755,291602,299509,79485.3,217695,198279,327884,333388,286330,296426,33269.1,222763,275095,310294,320807,335148,248898,53812.9,52257,129392,104527,53805,172383,271192,242132,306298,316267,335255,335080,198128,166000,114211,140092,69126.3,85473.7,50550.5,53810.6,49510.5,47293,43855.8,40039.7,30721.3,28288.5,37824,42473.1,26527.8,23066.9,29934.7,25944.1,21512.2,34297.7,47239.3,16670.6,14123.7,11685.2,7908.87,0,19583.1,16033.7,10776,0,3957.38,0,0,335323,53805.6,7431.44,3622.56,37513.7,334392,328325,289564,300649,223595,200191,334010,329761,285956,299527,323976,313507,312304,270586,270065,322500,186771,197033,220672,233915,248477,247030,81159.4,79495.5,116571,157525,112059,144342,174901,101736,125888,301874,313051,310670,275867,271809,292216,283413,298911,247278,334305,331476,323207,320378,331458,210881,199468,169022,158085,120624,147227,52876.3,50571.7,48655.6,47135.4,46788.1,42790.5,44879.1,46045.5,40318.4,42133,33339.4,35432.3,35926.5,35340.5,38674.5,38645.5,42698.8,29632.8,26386.1,23618.8,18657,20031.8,28614.4,24617.1,15839.1,18100.4,14745.2,15621.3,19671.4,16311.6,11435.2,11217.4,7083.43,6447.04,11028,2601.87,4206.3,3764.31,7431.18,11493.8,24836.2,21904.9,26351.1,22971.3,29047.3,32014.1,31830.8,33075.2,50208.8,68681.4,51532.3,49932.2,90719.9,257073,226440,
175,306555,47725.3,306620,47726.1,0,0,47724.7,6630.73,3317.21,31879.5,304464,297479,265271,272698,70843.1,196600,178756,299499,304727,260330,269800,29386.7,201270,249820,282857,292792,306401,225440,47730.1,46332.5,115951,93444.9,47723.9,155062,246176,219165,279088,288496,306503,306336,178620,149237,102204,125664,61513.3,76244.9,44800.6,47728.2,43868.5,41882.3,38810.3,35407.2,27126.4,24970.5,33434.4,37576.1,23410.9,20349.2,26429,22894.5,18974.6,30300,41834.2,14698.2,12450.6,10299.5,6969.9,0,17270,14136.1,9497.71,0,3487.17,0,0,306567,47724.4,6549.02,3192.13,33158.2,305682,299917,263361,273770,202042,180513,305318,301281,259978,272716,295793,285889,284753,245615,245129,294395,168210,177619,199346,211570,225052,223704,72350.9,70850.4,104331,141511,100257,129528,157360,90921.9,112779,274923,285459,283211,250542,246755,265849,257599,272134,223934,305599,302910,295065,292385,302892,190333,179844,151996,142025,108009,132150,46888.6,44819.7,43102.3,41741.3,41430.6,37859.1,39724.2,40766.5,35655.7,37272.4,29449.2,31308.1,31747.5,31226.4,34191.4,34165.5,37777.6,26161.2,23285.8,20837.3,16452.2,17666.5,25259.1,21720.1,13964.2,15960.6,12998.9,13772.2,17348.3,14381.3,10079.1,9886.98,6242.3,5681.31,9719.87,2292.7,3706.55,3317.04,6548.81,10130.7,21914.1,19321.8,23254.8,20264.3,25642.3,28273.1,28110.6,29214.6,44494.3,61109.6,45681.8,44246,80974.7,233038,204663,
200,279530,42823.4,279590,42824.1,0,0,42822.9,5929.03,2966.02,28548.2,277585,271091,241248,248116,63731.3,178107,161793,272968,277829,236685,245436,26309.7,182383,226988,257523,266738,279387,204552,42827.4,41565,104612,84200.1,42822.3,140180,223629,198788,254031,262751,279481,279326,161670,134874,92140.6,113435,55291.6,68621.7,40181.7,42825.9,39340.6,37549.1,34781.5,31719.1,24281.3,22347.7,29945.4,33670.2,20949.4,18206,23655.7,20486.7,16974.6,27129.6,37505.7,13146.1,11134.8,9210.39,6232.37,0,15448.3,12643.1,8493.2,0,3117.99,0,0,279542,42822.7,5855.96,2854.17,29697,278718,273357,239485,249108,183091,163399,278379,274624,236360,248133,269525,260333,259281,223113,222667,268226,152165,160756,180622,191823,204198,202957,65095.3,63737.1,94066.3,127841,90375.1,116948,142273,81913.3,101735,250176,259935,257851,227654,224164,241784,234165,247594,203167,278640,276139,268848,266360,276123,172374,162786,137388,128310,97405.9,119331,42067.2,40198.9,38649.3,37422.1,37142,33924.9,35604.5,36543.5,31942.7,33396.8,26365.9,28035.1,28429.8,27961.6,30625.9,30602.4,33851.7,23415.4,20837.4,18643.3,14716.2,15803.4,22606.5,19434.2,12489.2,14276.1,11625.5,12317.5,15518.5,12862.5,9013.26,8841.4,5581.68,5079.98,8691.93,2049.96,3314.16,2965.86,5855.78,9059.45,19608.1,17285.7,20809.5,18129.8,22949.9,25310.2,25164.4,26155.1,39905.3,54924.9,40977.4,39681,72902.6,211540,185491,
225,254534,38663.7,254590,38664.2,0,0,38663.3,5343.19,2672.88,25747.8,252744,246772,219371,225670,57619.7,161625,146750,248497,252969,215188,223211,23725.9,165527,206303,234304,242770,254403,185775,38667.1,37523.3,94724.6,76190.8,38662.7,127066,203227,180507,231098,239106,254490,254347,146638,122237,83399.1,102743,49967,62055.9,36270.1,38665.8,35508.5,33886.6,31382.4,28613.2,21894.4,20149.1,27010.1,30377.3,18887.1,16412,21329.6,18469.6,15301.3,24466.4,33847.3,11848.8,10035.5,8300.72,5616.57,0,13924.7,11395.3,7654.27,0,2809.83,0,0,254545,38663,5277.33,2572.08,26785.7,253787,248855,217754,226580,166174,148214,253475,250021,214890,225686,245331,236885,235919,202756,202348,244138,137977,145806,163921,174146,185453,184317,58856.4,57624.5,85145.8,115838,81796.2,105936,128971,74115.1,92112.3,227560,236519,234605,206914,203718,219863,212878,225191,184509,253716,251414,244709,242423,251399,156397,147654,124525,116266,88180.1,108102,37978.3,36285.7,34882.5,33771.6,33518.1,30607.5,32127,32976.5,28815.4,30129.9,23776.6,25284.2,25640.8,25217.8,27625.1,27603.9,30541.4,21112.6,18786.1,16806.5,13264.5,14244.9,20382.6,17520,11256.5,12867.6,10477.8,11101.7,13988.1,11593.1,8123.04,7968.12,5030.14,4577.98,7833.39,1847.35,2986.62,2672.74,5277.17,8164.67,17676.9,15581.9,18760.9,16343.1,20692.5,22823.3,22691.7,23586.3,36019.8,49633.8,36990.9,35816.7,65938.7,192167,168364,
