Y Coordinates:
6,6,0,0,3,3,5.63651,5.66829,1.87631,0,0,1.19537,0.604173,1.96837,3,2.3159,2.23939,3.73894,4.06902,3.28412,3.56923,4.03534,0.302086,1.22214,0.47963,0.958531,4.94951,4.98296,5.33763,6,5.27428,6,4.54481,4.58011,1.49667,3.36947,2.6197,2.65795,2.28897,2.20498,1.65121,2.61923,2.64154,3.36212,3.36428,3.74204,3.8041,4.31634,1.23834,0.798079,1.11879,0.714569,0.354508,0.408054,5.26276,4.80446,5.29463,4.90718,5.65191,5.6378,
Volumes:
0.0301817,0.0279752,0.0262234,0.038946,0.0820924,0.0809028,0.0598837,0.0557919,0.151078,0.0685642,0.0587771,0.140481,0.0774848,0.0930434,0.202305,0.0358132,0.0913418,0.0395303,0.126028,0.0607276,0.0533066,0.0780262,0.052567,0.0305584,0.0812548,0.0890571,0.0419135,0.0486153,0.0569676,0.0580474,0.0557126,0.060106,0.0679476,0.138986,0.0561902,0.0649275,0.080652,0.0591638,0.105998,0.183076,0.295829,0.127288,0.103848,0.124454,0.113686,0.125791,0.215171,0.262936,0.0891575,0.118601,0.19486,0.111424,0.114899,0.136463,0.137745,0.211451,0.129688,0.135934,0.118242,0.122286,

 Time(s),  P(Pa) on vertices
0,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,435167,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,
25,0,0,435143,435157,236019,236239,37930.2,34607,420197,435154,435148,433687,435020,414709,236747,384210,394386,201463,180211,225446,211357,182291,435117,433076,435078,434486,106233,103131,68382.8,0,74786.2,0,142566,139938,429887,221410,338371,329168,387413,398107,427575,337515,332061,221911,221668,201237,197949,161384,432909,434737,433795,434879,435111,435100,75974.8,119958,72718,110151,36319,37795.8,
50,0,0,431902,432026,136624,136745,19841.7,18104.6,363492,431954,431924,413379,428343,351466,136927,297884,313073,111456,98061.2,127984,117972,99398.1,431042,410904,429692,421121,56185,54492.5,35905.6,0,39293.2,0,76248,74686.4,395438,125045,237327,227191,302653,318866,385455,236803,230959,125360,125229,111322,109061,86983.8,410030,424486,415678,426190,430694,430260,39917.3,63619.6,38201,58324.2,18999.7,19771.5,
75,0,0,417552,417848,94983.6,95051.5,12959.3,11825.3,311850,417668,417600,380797,409215,298279,95132.5,241137,256047,75382.3,65646.3,87929,80222.3,66627.1,415464,377389,412292,394666,36951.3,35816.6,23506.6,0,25734.8,0,50498.5,49399.3,354127,85645.5,182484,173536,245948,262037,339686,182204,177052,85872.2,85787.1,75287.3,73572.6,57887.6,376045,401439,385145,404835,414635,413628,26143.4,41913.2,25017.2,38386,12409.7,12913.5,
100,0,0,393494,393901,74088.7,74130.3,9737.11,8885.34,272571,393654,393559,347277,382394,259177,74173.1,204243,217961,57849.9,50069.4,68108,61762.5,50856.8,390682,343621,386458,364014,27881.8,27015.7,17687.6,0,19369,0,38266.9,37403.9,317462,66220,150355,142543,208753,223642,301503,150201,145696,66399.4,66336.3,57775,56373.8,43994.7,342097,372566,352612,376844,389575,388240,19676.4,31659.3,18827.9,28977.2,9324.31,9702.69,
125,0,0,364829,365277,61866,61894.4,7957.65,7261.66,242126,365006,364900,315930,352798,229490,61920.7,178360,190831,47859.9,41276.8,56646,51190.9,41944.6,361765,312341,357188,333313,22842.9,22128.5,14467.4,0,15845,0,31428.8,30705.8,286033,55019.7,129352,122444,182504,196083,270120,129260,125272,55170.4,55119.5,47797.1,46597.3,36194.3,310802,342377,321508,346907,360565,359122,16096.5,25953.5,15401.8,23746.4,7620.37,7929.53,
150,0,0,335167,335615,53701.1,53722.4,6824.95,6228.09,217310,335345,335238,287251,323244,205614,53740.8,158616,169935,41329.9,35574.6,49061.5,44251.7,36159.3,332124,283862,327588,304134,19618.7,19002.8,12414,0,13597.2,0,27030.3,26401.5,258709,47626.1,114108,107930,162399,174746,243558,114048,110478,47757.4,47714,41275.2,40219.5,31158.4,282388,313022,292685,317464,330934,329506,13813,22297.9,13216.6,20397.7,6535.71,6800.83,
175,0,0,306400,306826,47623.1,47640.3,6012.89,5487.08,196195,306569,306467,261145,295076,185464,47654.4,142502,152781,36549.3,31425.8,43456.3,39155,31946.6,303506,258004,299198,277020,17297.6,16753.5,10939.8,0,11983,0,23850.5,23292.4,234540,42172,102075,96508.7,145949,157170,220437,102031,98813.4,42288.6,42250.6,36500.7,35557.7,27507.3,256628,285418,266263,289613,302376,301020,12173.2,19663.6,11647.5,17985.8,5758.09,5991.65,
200,0,0,279367,279765,42726.3,42741,5375.6,4905.53,177707,279525,279430,237408,268839,167904,42752.6,128737,138075,32741.8,28135.6,38962.8,35086.5,28604,276675,234524,272670,252094,15470.6,14983.5,9781.74,0,10714.7,0,21340.2,20839.2,212905,37805,92003.5,86968,131874,142073,199926,91969.3,89057.5,37909.8,37875.9,32698.1,31848.8,24619.1,233255,259881,242146,263772,275624,274364,10884.7,17588.5,10414.7,16086.9,5147.81,5356.61,
225,0,0,254368,254734,38572.2,38585,4843.81,4420.25,161240,254513,254426,215829,244683,152307,38595,116648,125134,29534.6,25371.8,35162.5,31654.8,25795.2,251891,213193,248207,229302,13943.2,13503.9,8814.74,0,9655.6,0,19237.6,18785.2,193402,34114.6,83262.3,78696.3,119501,128772,181527,83233.8,80593.1,34209.2,34178.7,29495.2,28726.9,22196.7,212031,236455,220178,240029,250924,249765,9808.83,15852.9,9385.22,14499,4638.56,4826.7,
