
Iteration,   CurrentTime,      TimeStep, NumberOfLoops
        1, 1.000000e-001, 1.000000e-001,            26
        2, 2.000000e-001, 1.000000e-001,            24
        3, 3.000000e-001, 1.000000e-001,            24
        4, 4.000000e-001, 1.000000e-001,            24
        5, 5.000000e-001, 1.000000e-001,            24
        6, 6.000000e-001, 1.000000e-001,            24
        7, 7.000000e-001, 1.000000e-001,            24
        8, 8.000000e-001, 1.000000e-001,            24
        9, 9.000000e-001, 1.000000e-001,            24
       10, 1.000000e+000, 1.000000e-001,            24
       11, 1.100000e+000, 1.000000e-001,            24
       12, 1.200000e+000, 1.000000e-001,            24
       13, 1.300000e+000, 1.000000e-001,            24
       14, 1.400000e+000, 1.000000e-001,            24
       15, 1.500000e+000, 1.000000e-001,            24
       16, 1.600000e+000, 1.000000e-001,            24
       17, 1.700000e+000, 1.000000e-001,            24
       18, 1.800000e+000, 1.000000e-001,            24
       19, 1.900000e+000, 1.000000e-001,            24
       20, 2.000000e+000, 1.000000e-001,            24
       21, 2.100000e+000, 1.000000e-001,            24
       22, 2.200000e+000, 1.000000e-001,            24
       23, 2.300000e+000, 1.000000e-001,            24
       24, 2.400000e+000, 1.000000e-001,            24
       25, 2.500000e+000, 1.000000e-001,            24
       26, 2.600000e+000, 1.000000e-001,            24
       27, 2.700000e+000, 1.000000e-001,            24
       28, 2.800000e+000, 1.000000e-001,            24
       29, 2.900000e+000, 1.000000e-001,            24
       30, 3.000000e+000, 1.000000e-001,            24
       31, 3.100000e+000, 1.000000e-001,            24
       32, 3.200000e+000, 1.000000e-001,            24
       33, 3.300000e+000, 1.000000e-001,            24
       34, 3.400000e+000, 1.000000e-001,            24
       35, 3.500000e+000, 1.000000e-001,            24
       36, 3.600000e+000, 1.000000e-001,            24
       37, 3.700000e+000, 1.000000e-001,            24
       38, 3.800000e+000, 1.000000e-001,            24
       39, 3.900000e+000, 1.000000e-001,            24
       40, 4.000000e+000, 1.000000e-001,            24
