
Iteration,   CurrentTime,      TimeStep, NumberOfLoops
        1, 1.000000e+001, 1.000000e+001,            34
        2, 2.000000e+001, 1.000000e+001,             2
        3, 3.000000e+001, 1.000000e+001,             2
        4, 4.000000e+001, 1.000000e+001,             2
        5, 5.000000e+001, 1.000000e+001,             2
        6, 6.000000e+001, 1.000000e+001,             2
        7, 7.000000e+001, 1.000000e+001,             2
        8, 8.000000e+001, 1.000000e+001,             2
        9, 9.000000e+001, 1.000000e+001,             2
       10, 1.000000e+002, 1.000000e+001,             2
       11, 1.100000e+002, 1.000000e+001,             2
       12, 1.200000e+002, 1.000000e+001,             2
       13, 1.300000e+002, 1.000000e+001,             2
       14, 1.400000e+002, 1.000000e+001,             2
       15, 1.500000e+002, 1.000000e+001,             2
       16, 1.600000e+002, 1.000000e+001,             2
       17, 1.700000e+002, 1.000000e+001,             2
       18, 1.800000e+002, 1.000000e+001,             2
       19, 1.900000e+002, 1.000000e+001,             2
       20, 2.000000e+002, 1.000000e+001,             2
       21, 2.100000e+002, 1.000000e+001,             2
       22, 2.200000e+002, 1.000000e+001,             2
       23, 2.300000e+002, 1.000000e+001,             2
       24, 2.400000e+002, 1.000000e+001,             2
       25, 2.500000e+002, 1.000000e+001,             2
       26, 2.600000e+002, 1.000000e+001,             2
       27, 2.700000e+002, 1.000000e+001,             2
       28, 2.800000e+002, 1.000000e+001,             2
       29, 2.900000e+002, 1.000000e+001,             2
       30, 3.000000e+002, 1.000000e+001,             2
       31, 3.100000e+002, 1.000000e+001,             2
       32, 3.200000e+002, 1.000000e+001,             2
       33, 3.300000e+002, 1.000000e+001,             2
       34, 3.400000e+002, 1.000000e+001,             2
       35, 3.500000e+002, 1.000000e+001,             2
       36, 3.600000e+002, 1.000000e+001,             2
       37, 3.700000e+002, 1.000000e+001,             2
       38, 3.800000e+002, 1.000000e+001,             2
       39, 3.900000e+002, 1.000000e+001,             2
       40, 4.000000e+002, 1.000000e+001,             2
       41, 4.100000e+002, 1.000000e+001,             2
       42, 4.200000e+002, 1.000000e+001,             2
       43, 4.300000e+002, 1.000000e+001,             2
       44, 4.400000e+002, 1.000000e+001,             2
       45, 4.500000e+002, 1.000000e+001,             2
       46, 4.600000e+002, 1.000000e+001,             2
       47, 4.700000e+002, 1.000000e+001,             2
       48, 4.800000e+002, 1.000000e+001,             2
       49, 4.900000e+002, 1.000000e+001,             2
       50, 5.000000e+002, 1.000000e+001,             2
       51, 5.100000e+002, 1.000000e+001,             2
