
Inspected Vertex: 74
Time,v(m)
0,-0.000248076
25,-0.000296369
50,-0.000311871
75,-0.000320923
100,-0.000327279
125,-0.000332272
150,-0.000336462
175,-0.000340108
200,-0.000343346
225,-0.000346254
250,-0.000348881
275,-0.000351261
300,-0.00035342
325,-0.000355382
350,-0.000357165
375,-0.000358785
400,-0.000360258
425,-0.000361597
450,-0.000362814
475,-0.000363921
500,-0.000364927
525,-0.000365842
550,-0.000366674
575,-0.00036743
600,-0.000368118
625,-0.000368743
650,-0.000369311
675,-0.000369828
700,-0.000370297
725,-0.000370725
750,-0.000371113
775,-0.000371466
800,-0.000371787
825,-0.000372079
850,-0.000372344
875,-0.000372585
900,-0.000372805
925,-0.000373004
950,-0.000373185
975,-0.00037335
1000,-0.0003735
1025,-0.000373636
1050,-0.00037376
1075,-0.000373873
1100,-0.000373975
1125,-0.000374068
1150,-0.000374153
1175,-0.00037423
1200,-0.0003743
1225,-0.000374363
1250,-0.000374421
1275,-0.000374474
1300,-0.000374521
1325,-0.000374565
1350,-0.000374604
1375,-0.00037464
1400,-0.000374673
1425,-0.000374703
1450,-0.00037473
1475,-0.000374754
1500,-0.000374777
1525,-0.000374797
1550,-0.000374815
1575,-0.000374832
1600,-0.000374847
1625,-0.000374861
1650,-0.000374874
1675,-0.000374885
1700,-0.000374896
1725,-0.000374905
1750,-0.000374914
1775,-0.000374922
1800,-0.000374929
1825,-0.000374935
1850,-0.000374941
1875,-0.000374946
1900,-0.000374951
1925,-0.000374956
1950,-0.00037496
1975,-0.000374963
2000,-0.000374967
