
Inspected Vertex: 75
Time,P(Pa)
0,435167
25,435167
50,435163
75,435013
100,434165
125,432007
150,428280
175,423045
200,416524
225,408988
250,400695
275,391868
300,382688
325,373300
350,363816
375,354321
400,344881
425,335543
450,326344
475,317309
500,308457
525,299800
550,291346
575,283099
600,275062
625,267236
650,259617
675,252206
700,244997
725,237989
750,231175
775,224554
800,218118
825,211866
850,205790
875,199888
900,194153
925,188583
950,183172
975,177915
1000,172809
1025,167849
1050,163032
1075,158352
1100,153807
1125,149392
1150,145104
1175,140939
1200,136893
1225,132963
1250,129146
1275,125439
1300,121838
1325,118341
1350,114944
1375,111644
1400,108439
1425,105326
1450,102303
1475,99365.7
1500,96513.3
1525,93742.7
1550,91051.6
1575,88437.8
1600,85899.1
1625,83433.2
1650,81038.1
1675,78711.7
1700,76452.1
1725,74257.4
1750,72125.7
1775,70055.2
1800,68044.2
1825,66090.8
1850,64193.6
1875,62350.8
1900,60560.9
1925,58822.3
1950,57133.7
1975,55493.6
2000,53900.5
2025,52353.2
2050,50850.3
2075,49390.6
2100,47972.7
2125,46595.5
2150,45257.9
2175,43958.7
2200,42696.8
2225,41471.1
2250,40280.6
2275,39124.2
2300,38001.1
2325,36910.2
2350,35850.6
2375,34821.5
2400,33821.8
2425,32850.9
2450,31907.9
2475,30991.9
2500,30102.2
2525,29238.1
2550,28398.7
2575,27583.5
2600,26791.6
2625,26022.5
2650,25275.5
2675,24549.9
2700,23845.2
2725,23160.6
2750,22495.8
2775,21850
2800,21222.7
2825,20613.5
2850,20021.7
2875,19447
2900,18888.7
2925,18346.5
2950,17819.8
2975,17308.2
3000,16811.4
3025,16328.8
3050,15860
3075,15404.7
3100,14962.5
3125,14533
3150,14115.8
3175,13710.5
3200,13317
3225,12934.7
3250,12563.3
3275,12202.7
3300,11852.4
3325,11512.1
3350,11181.7
3375,10860.7
3400,10548.9
3425,10246.1
3450,9951.92
3475,9666.23
3500,9388.74
3525,9119.22
3550,8857.43
3575,8603.16
3600,8356.19
3625,8116.31
3650,7883.31
3675,7657.01
3700,7437.2
3725,7223.7
3750,7016.33
3775,6814.91
3800,6619.27
3825,6429.25
3850,6244.69
3875,6065.42
3900,5891.3
3925,5722.18
3950,5557.91
3975,5398.36
4000,5243.39
