
Inspected Vertex: 44
Time,sigmaYY(Pa)
0,-661537
25,-661537
50,-661541
75,-661670
100,-662364
125,-664092
150,-667042
175,-671159
200,-676268
225,-682157
250,-688627
275,-695506
300,-702654
325,-709960
350,-717337
375,-724721
400,-732060
425,-739319
450,-746468
475,-753490
500,-760368
525,-767095
550,-773664
575,-780071
600,-786315
625,-792396
650,-798315
675,-804073
700,-809673
725,-815118
750,-820411
775,-825555
800,-830554
825,-835412
850,-840132
875,-844717
900,-849172
925,-853499
950,-857703
975,-861786
1000,-865753
1025,-869606
1050,-873349
1075,-876984
1100,-880515
1125,-883945
1150,-887276
1175,-890512
1200,-893655
1225,-896707
1250,-899672
1275,-902552
1300,-905350
1325,-908067
1350,-910706
1375,-913269
1400,-915759
1425,-918177
1450,-920526
1475,-922808
1500,-925024
1525,-927176
1550,-929266
1575,-931297
1600,-933269
1625,-935185
1650,-937045
1675,-938853
1700,-940608
1725,-942313
1750,-943969
1775,-945578
1800,-947140
1825,-948657
1850,-950131
1875,-951563
1900,-952953
1925,-954304
1950,-955616
1975,-956890
2000,-958127
2025,-959329
2050,-960497
2075,-961631
2100,-962732
2125,-963802
2150,-964841
2175,-965851
2200,-966831
2225,-967783
2250,-968708
2275,-969606
2300,-970479
2325,-971326
2350,-972149
2375,-972949
2400,-973725
2425,-974480
2450,-975212
2475,-975924
2500,-976615
2525,-977286
2550,-977938
2575,-978572
2600,-979187
2625,-979784
2650,-980365
2675,-980928
2700,-981476
2725,-982008
2750,-982524
2775,-983026
2800,-983513
2825,-983986
2850,-984446
2875,-984893
2900,-985326
2925,-985748
2950,-986157
2975,-986554
3000,-986940
3025,-987315
3050,-987679
3075,-988033
3100,-988376
3125,-988710
3150,-989034
3175,-989349
3200,-989655
3225,-989952
3250,-990240
3275,-990520
3300,-990792
3325,-991057
3350,-991314
3375,-991563
3400,-991805
3425,-992040
3450,-992269
3475,-992491
3500,-992706
3525,-992916
3550,-993119
3575,-993317
3600,-993508
3625,-993695
3650,-993876
3675,-994052
3700,-994222
3725,-994388
3750,-994549
3775,-994706
3800,-994858
3825,-995005
3850,-995149
3875,-995288
3900,-995423
3925,-995555
3950,-995682
3975,-995806
4000,-995927
