Y Coordinates:
1.32842,1.59689,5.59979,5.7999,5.42631,0.461895,0.64657,0.230948,6,0.85134,2.02705,2.22073,3.26125,3.39386,1.19537,1.06366,3.81712,4.04305,4.20103,4.57482,4.764,4.3868,3,3.095,3.59613,0,4.95317,5.14454,1.87201,2.51863,2.68117,2.8404,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,435167,435167,435167,435167,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,
25,435167,435166,146233,74849.9,203116,435167,435167,435167,0,435167,435159,435147,433801,433062,435167,435167,427234,420370,412943,382254,356654,400240,434639,434410,431077,435167,323988,281377,435163,435093,435017,434884,
50,435013,434839,104934,53087.3,148034,435156,435148,435161,0,435131,434141,433508,419480,415240,435062,435097,394093,377066,362240,315955,285760,341194,425768,423782,406635,435163,251654,212469,434482,431847,430364,428418,
75,433651,432610,86112.2,43395.3,122124,434910,434796,434988,0,434598,429544,427317,397443,390436,434003,434281,360377,339209,322076,273339,244100,299234,408849,405071,377502,435013,212389,177469,430910,422422,418709,414286,
100,430198,427752,74764.8,37603.2,106313,433790,433404,434070,0,432778,421555,417542,375209,366569,431103,431854,332174,309549,291896,243948,216372,269086,389950,384951,351362,434164,187067,155473,424184,409470,403827,397427,
125,424772,420814,66974,33645.3,95387.6,431248,430491,431813,0,429305,411611,406045,354965,345413,426311,427624,309039,286079,268554,222254,196294,246332,371734,365967,329072,432006,169042,140031,415401,395423,388351,380562,
150,417841,412524,61202.6,30721.8,87261,427122,425985,427982,0,424236,400799,394011,337034,326992,419971,421817,289864,267067,249917,205436,180915,228442,354998,348762,310137,428278,155382,128431,405537,381489,373415,364689,
175,409847,403421,56705.1,28448.3,80910.4,421531,420059,422654,0,417821,389727,382030,321206,310929,412471,414768,273713,251305,234621,191911,168651,213915,339837,333328,293909,423042,144569,119303,395192,368152,359398,350062,
200,401133,393856,53070.8,26613.9,75768.1,414720,412979,416057,0,410348,378705,370359,307161,296808,404140,406792,259881,237966,221774,180725,158569,201812,326114,319461,279829,416521,135730,111875,384698,355554,346359,336645,
225,391950,384056,50051.8,25091.8,71489.5,406964,405017,408463,0,402089,367878,359094,294589,284263,395241,398157,247849,226474,210773,171261,150081,191513,313630,306923,267451,408984,128320,105670,374238,343691,334232,324309,
250,382486,374167,47487.5,23800.3,67850.3,398511,396417,400129,0,393276,357312,348254,283223,272993,385976,389076,237229,216411,201188,163098,142790,182588,302192,295493,256430,400691,121978,100375,363908,332505,322914,312905,
275,372878,364289,45267.8,22683.2,64696.6,389575,387381,391273,0,384097,347030,337826,272845,262757,376497,379719,227727,207470,192709,155940,136418,174728,291628,284981,246496,391864,116453,95773.2,353763,321923,312298,302292,
300,363228,354491,43314.7,21701.1,61918.8,380327,378071,382075,0,374700,337040,327786,263278,253365,366921,370215,219122,199421,185104,149568,130764,167706,281795,275232,237440,382684,111564,91709.7,343831,311873,302287,292350,
325,353612,344819,41570.9,20824.7,59436.5,370903,368614,372677,0,365199,327339,318108,254383,244668,357336,360663,211242,192088,178199,143821,125678,161353,272578,266121,229100,373296,107176,88070.5,334129,302292,292799,282981,
350,344084,335307,39993.8,20032.6,57189.6,361407,359109,363190,0,355683,317920,308768,246051,236548,347807,351137,203955,185337,171861,138576,121047,155539,263883,257549,221351,363811,103190,84770.1,324665,293129,283768,274104,
375,334685,325979,38551,19308.3,55132.7,351919,349629,353697,0,346217,308775,299742,238195,228914,338385,341694,197160,179067,165987,133740,116787,150166,255637,249437,214095,354317,99529.5,81743.4,315442,284340,275140,265655,
400,325446,316850,37217.8,18639.4,53230.9,342500,340231,344262,0,336852,299897,291013,230747,221693,329103,332376,190777,173195,160499,129242,112830,145156,247783,241724,207255,344876,96135.4,78941,306461,275888,266870,257581,
425,316388,307930,35975.3,18016.1,51457.5,333194,330956,334932,0,327623,291276,282562,223653,214829,319988,323212,184744,167661,155336,125024,109126,140452,240272,234359,200771,335539,92962.8,76324.3,297720,267746,258922,249842,
450,307524,299225,34808.6,17431.2,49791.7,324034,321833,325744,0,318558,282906,274377,216871,208277,311058,314224,179012,162415,150449,121045,105637,136007,233069,227304,194597,326340,89976.6,73863.7,289217,259888,251269,242405,
475,298864,290740,33706.4,16878.6,48217.2,315044,312886,316720,0,309675,274778,266443,210367,202002,302326,305428,173544,157420,145801,117270,102329,131785,226143,220526,188694,317305,87149.3,71535.9,280949,252296,243886,235242,
500,290414,282473,32659.5,16354,46721.3,306240,304128,307881,0,300987,266884,258750,204114,195975,293798,296832,168308,152645,141362,113673,99180.1,127757,219470,214002,183034,308453,84459.6,69322.7,272909,244952,236755,228332,
525,282176,274426,31661,15853.6,45294.2,297633,295570,299236,0,292501,259219,251288,198090,190174,285481,288443,163282,148066,137109,110232,96170.3,123901,213031,207709,177592,299796,81890.5,67210,265095,237842,229858,221656,
550,274153,266596,30705.2,15374.8,43927.9,289231,287218,290796,0,284224,251775,244049,192277,184580,277376,280265,158444,143664,133023,106931,93284.4,120200,206808,201632,172350,291342,79428.4,65186.1,257500,230954,223182,215200,
575,266342,258979,29787.7,14915.1,42616,281038,279075,282563,0,276156,244545,237023,186660,179178,269482,272298,153780,139423,129089,103756,90510.2,116638,200789,195755,167292,283095,77062.7,63242.2,250120,224278,216716,208951,
600,258741,251573,28904.8,14472.9,41353.5,273054,271142,274540,0,268299,237523,230203,181226,173954,261799,264542,149277,135331,125295,100697,87837.8,113204,194961,190068,162404,275059,74784.6,61370.8,242949,217804,210449,202898,
625,251348,244373,28053.7,14046.6,40136.2,265280,263419,266727,0,260652,230703,223583,175966,168899,254325,256994,144923,131377,121630,97744,85259.3,109888,189316,184559,157676,267232,72587.1,59566,235982,211524,204372,197031,
650,244160,237374,27231.9,13635.1,38960.9,257715,255904,259123,0,253211,224079,217156,170870,164003,247056,249652,140710,127552,118086,94890.2,82767.9,106683,183844,179221,153100,259614,70464.4,57823,229213,205431,198478,191342,
675,237172,230573,26437.5,13237.2,37824.6,250355,248594,251724,0,245974,217646,210915,165931,159259,239988,242513,136631,123850,114655,92129.4,80358.1,103581,178537,174045,148666,252202,68411.6,56137.6,222637,199518,192760,185824,
700,230379,223964,25668.8,12852.3,36725.1,243198,241485,244529,0,238938,211397,204855,161141,154659,233117,235573,132677,120263,111333,89456.3,78025.3,100578,173390,169025,144368,244994,66424.6,54506.5,216249,193778,187210,180471,
725,223778,217542,24924.5,12479.6,35660.3,236239,234574,237534,0,232098,205328,198970,156495,150198,226440,228826,128845,116786,108113,86866.5,75765.5,97667.2,168395,164154,140201,237985,64500,52926.7,210044,188206,181824,175275,
750,217364,211303,24203.2,12118.4,34628.5,229475,227856,230733,0,225450,199433,193255,151987,145870,219950,222270,125127,113415,104991,84356,73575.1,94845.7,163548,159428,136158,231172,62634.8,51395.7,204016,182795,176595,170232,
775,211131,205242,23504,11768.3,33628.2,222901,221328,224124,0,218989,193708,187705,147612,141670,213645,215899,121521,110145,101963,81921.6,71451.2,92109.3,158843,154840,132236,224551,60826.2,49911.4,198161,177542,171518,165337,
800,205076,199353,22825.9,11428.7,32658,216513,214984,217701,0,212712,188147,182315,143366,137593,207518,209709,118022,106972,99025,79559.9,69391,89454.6,154275,150387,128430,218116,59072,48471.7,192474,172441,166589,160584,
825,199193,193633,22168,11099.3,31716.8,210305,208820,211460,0,206612,182746,177079,139243,133636,201566,203695,114625,103893,96174,77268.4,67392,86878.6,149840,146064,124735,211863,57370,47075,186949,167488,161802,155969,
850,193478,188077,21529.6,10779.7,30803.5,204274,202831,205396,0,200686,177500,171995,135240,129793,195784,197852,111329,100904,93406.7,75044.4,65452,84378.4,145534,141866,121148,205787,55718.4,45719.6,181583,162677,157154,151487,
875,187927,182679,20910,10469.4,29917,198415,197013,199505,0,194929,172404,167057,131354,126063,190166,192175,108128,98002.4,90720.3,72885.6,63569,81951.4,141353,137789,117665,199885,54115.2,44404,176371,158005,152640,147135,
900,182534,177436,20308.5,10168.3,29056.5,192723,191361,193781,0,189336,167455,162260,127580,122441,184710,186661,105020,95185.2,88112.2,70789.8,61740.9,79595.1,137293,133831,114284,194151,52558.9,43126.9,171309,153468,148256,142909,
