Y Coordinates:
0,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1,1.11111,1.22222,1.33333,1.44444,1.55556,1.66667,1.77778,1.88889,2,2.11111,2.22222,2.33333,2.44445,2.55556,2.66667,2.77778,2.88889,3,3.11111,3.22222,3.33333,3.44444,3.55556,3.66667,3.77778,3.88889,4,4.11111,4.22222,4.33333,4.44444,4.55556,4.66667,4.77778,4.88889,5,5.11111,5.22222,5.33333,5.44445,5.55556,5.66667,5.77778,5.88889,6,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,
25,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435166,435166,435165,435164,435163,435159,435155,435146,435133,435112,435077,435026,434947,434826,434645,434384,434006,433451,432680,431616,430131,428173,425457,421975,417404,411596,404273,395294,384186,370670,354689,335966,314297,289724,261774,230999,197471,161279,122995,83060,41820.1,0,
50,435163,435162,435161,435160,435157,435153,435147,435138,435126,435109,435086,435054,435010,434952,434873,434768,434629,434447,434208,433902,433500,432990,432352,431534,430523,429273,427707,425798,423493,420716,417340,413353,408665,403116,396739,389218,380703,370940,359931,347562,333858,318610,301788,283500,263705,242408,219727,195539,170159,143671,116153,87851.5,58947.4,29576.3,0,
75,435012,435007,434990,434961,434917,434858,434781,434679,434553,434390,434189,433939,433632,433260,432799,432243,431571,430766,429801,428661,427291,425687,423822,421621,419085,416161,412762,408881,404480,399495,393815,387469,380398,372484,363800,354106,343576,332039,319542,306035,291571,276040,259458,241927,223448,204044,183809,162687,140877,118438,95421.2,71970.1,48187.5,24149.5,0,
100,434161,434141,434078,433973,433817,433612,433354,433029,432642,432164,431600,430933,430152,429246,428179,426950,425530,423904,422039,419925,417498,414765,411704,408238,404381,400090,395286,389979,384146,377742,370678,363001,354676,345616,335903,325354,314131,302112,289350,275822,261581,246559,230782,214333,197220,179470,161152,142236,122860,103066,82891.3,62432.1,41756.2,20914.4,0,
125,432000,431958,431828,431615,431303,430897,430395,429774,429050,428180,427175,426018,424695,423200,421489,419568,417407,414996,412301,409319,405986,402320,398304,393867,389033,383767,378002,371759,365025,357767,349918,341527,332574,322994,312865,302046,290675,278665,266064,252862,239106,224749,209818,194380,178447,162040,145215,127952,110355,92453.7,74278,55897.5,37361.6,18706.7,0,
150,428268,428204,428005,427679,427205,426591,425841,424923,423863,422610,421181,419560,417735,415702,413417,410891,408096,405027,401653,397977,393939,389563,384839,379701,374181,368251,361854,355016,347732,339978,331699,322946,313707,303931,293690,282869,271592,259787,247501,234729,221511,207813,193661,179109,164169,148860,133227,117255,101026,84563.7,67891.2,51062.4,34115.1,17077.3,0,
175,423029,422945,422683,422257,421639,420843,419874,418697,417346,415763,413974,411962,409718,407242,404490,401479,398183,394602,390708,386509,381950,377059,371830,366207,360222,353854,347054,339852,332247,324220,315727,306819,297486,287689,277493,266803,255727,244209,232288,219963,207270,194183,180724,166941,152842,138446,123788,108859,93722.8,78401.4,62912.2,47298.6,31590.8,15811,0,
200,416505,416404,416092,415584,414849,413905,412760,411375,409792,407947,405873,403555,400985,398168,395059,391681,388010,384050,379777,375202,370274,365025,359453,353506,347219,340576,333535,326126,318352,310198,301628,292690,283377,273658,263592,253099,242273,231069,219522,207632,195432,182901,170057,156943,143566,129942,116101,102036,87800.9,73413,58887.2,44259.2,29554,14789.8,0,
225,408966,408853,408503,407931,407108,406052,404773,403230,401472,399431,397145,394599,391790,388723,385355,381713,377776,373549,369013,364181,359006,353521,347728,341580,335114,328314,321147,313641,305802,297619,289060,280172,270950,261367,251479,241215,230661,219778,208597,197121,185377,173349,161054,148528,135778,122819,109677,96344.1,82868.1,69263.3,55542.5,41735.7,27864,13942.7,0,
