Y Coordinates:
6,3,3,0,0,6,3,2.21472,2.47315,2.53287,2.39377,3.54752,3.80039,3.55472,3.32898,1.73181,1.59586,0.543745,0.720859,1.47975,1.33907,0.465398,0.609274,4.665,5.32149,6,6,5.72496,5.21378,6,6,5.00004,4.79905,4.64878,4.4005,4.99856,0,0,0.831158,0.335328,0,1.21665,1.03483,0.271872,0,1.14906,0.898411,1.37961,3.76535,4.12776,3.94591,4.2995,4.05441,3.27376,2.26683,2.07054,2.76643,3.16449,2.73657,1.95679,3,3,0.167664,1.71036,1.86571,4.52638,4.25894,5.46958,5.60443,5.80222,5.45063,2.29868,2.52707,2.54948,2.36657,3.46234,3.67095,3.40108,1.73159,1.53136,0.425125,0.722766,1.543,1.35316,0.484089,0.726244,5.4701,5.68331,5.79752,5.41015,5.5854,5.86764,5.64644,5.49498,5.08997,4.86418,5.00935,4.75845,4.31489,4.53044,4.57933,4.77531,4.44616,5.27052,5.00896,5.26787,4.74084,4.68556,4.97388,5.16073,5.30882,0.234485,0.241529,0.244313,0.465228,1.14679,0.986854,0.234632,0.510158,0.639321,0.6992,1.26432,1.03695,1.39163,1.5131,4.08611,4.11743,4.36445,4.22716,4.15495,4.04844,4.47136,3.82753,3.8556,3.62408,3.60858,3.85231,3.6252,3.95783,3.38561,3.41401,1.9308,2.16643,3.18469,2.77279,2.7604,1.78761,2.08576,2.76814,2.54301,2.34164,2.51377,3.21155,2.76789,1.95001,1.72074,1.93178,1.67715,2.13914,2.19276,0.825135,1.13921,0.940989,1.2144,3.24227,3.21773,
Volumes:
0.0149015,0.0247194,0.0304489,0.00753676,0.0159233,0.00616284,0.066975,0.0282315,0.0268254,0.0192208,0.0155393,0.0191033,0.0439384,0.0201642,0.0252806,0.0146359,0.0182905,0.0308054,0.0093972,0.0198946,0.0129156,0.0104398,0.0194899,0.0119976,0.0269356,0.0202566,0.0261108,0.0345654,0.0200777,0.0262868,0.00836101,0.0168882,0.00854934,0.0466361,0.0148657,0.0386295,0.0210138,0.0248887,0.0266759,0.00981434,0.0200964,0.0101585,0.0129079,0.0280841,0.029018,0.0167628,0.0317863,0.0160647,0.0125979,0.0125603,0.0112033,0.0261556,0.0170611,0.0387244,0.01156,0.0137493,0.0248373,0.0114431,0.0279332,0.0362883,0.0537337,0.0540551,0.0108592,0.0159741,0.016398,0.0134878,0.0123097,0.015666,0.0135301,0.0292937,0.0392735,0.0521283,0.0507386,0.0351808,0.0437792,0.0454432,0.0450684,0.0344193,0.0392916,0.0508905,0.0326105,0.0668234,0.054822,0.0299671,0.0406666,0.0279997,0.0357657,0.0471792,0.0572672,0.0421848,0.0473642,0.0571423,0.0557549,0.053194,0.0244453,0.0277035,0.0622246,0.0514707,0.0676978,0.0429407,0.0524038,0.0409101,0.0511627,0.0620345,0.057017,0.0550327,0.0457634,0.034436,0.0503908,0.0355229,0.0393565,0.0496466,0.0520992,0.0461759,0.0432834,0.0373848,0.0395418,0.0487031,0.0721515,0.0396377,0.0367208,0.0606043,0.0402359,0.043097,0.065047,0.0288863,0.0600885,0.0507353,0.0285037,0.0443488,0.0518915,0.0466496,0.050717,0.0543946,0.045313,0.0428503,0.0473151,0.040716,0.0463535,0.0547009,0.0361228,0.0428062,0.0435901,0.0270092,0.0389419,0.0525093,0.0480274,0.044482,0.0404579,0.042394,0.049403,0.0468775,0.0399253,0.05022,0.0501916,0.0384532,0.0610349,0.0456464,0.0320415,0.0507995,0.0395293,0.0578185,0.0912043,0.0605718,0.0442791,0.0447088,

 Time(s),  P(Pa) on vertices
0,0,435167,435167,435167,435167,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,0,435167,435167,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,
25,0,434624,434643,435167,435167,0,434646,435147,435103,435082,435119,431646,427807,431571,433472,435165,435166,435167,435167,435166,435167,435167,435167,370321,234936,0,0,102508,264401,0,0,314356,350886,374085,398976,315315,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,428268,416594,423586,406796,419661,433792,435140,435156,434950,434191,434977,435161,434631,434627,435167,435165,435163,386799,409241,189762,144975,74361,196605,435137,435086,435075,435126,432456,429909,432957,435165,435166,435167,435167,435166,435167,435167,435167,189649,117131,75902.7,208028,151180,49799.7,130651,181715,293873,339839,312323,357365,405906,386662,381710,354898,395172,249401,312377,249508,360259,367833,319730,277260,237939,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435166,418491,417372,401933,411245,414942,419969,392626,427008,426331,430718,430914,426467,430668,423120,433103,432860,435161,435150,434107,434941,434956,435164,435155,434946,435078,435131,435090,434010,434948,435161,435165,435162,435165,435152,435148,435167,435167,435167,435167,433907,433974,
50,0,425724,425817,435163,435163,0,425837,433529,432156,431688,432626,408981,395577,408637,417524,434683,434835,435153,435142,434924,435004,435156,435150,301791,173095,0,0,72853.5,197595,0,0,242466,279656,305334,339439,243050,435163,435163,435133,435159,435163,435052,435100,435161,435163,435074,435126,434984,397292,369389,384790,351660,375924,419334,433293,434000,429381,422159,429758,434321,425758,425742,435162,434714,434480,322498,355960,137598,103878,52607.4,142577,433150,431749,431545,432811,412538,402708,414896,434688,434890,435157,435143,434882,434998,435155,435141,137495,83556.5,53786.2,151921,108610,35221.6,93236.4,131408,223828,268020,240551,286678,350026,322121,315343,283883,333745,184900,240618,185240,289799,298689,247614,208948,175824,435161,435161,435161,435156,435075,435110,435161,435155,435148,435144,435039,435100,434978,434909,373238,370671,343911,359419,366518,376511,330248,393521,391605,405326,406071,391893,405223,383808,415577,414424,434354,433707,421605,429277,429454,434607,433962,429346,431603,432944,431853,420919,429357,434317,434702,434368,434752,433790,433611,435132,435078,435120,435055,420152,420719,
75,0,408797,408925,435009,435010,0,408949,427399,423294,422063,424653,380918,362181,380409,394119,431843,432601,434869,434733,433105,433601,434903,434822,259560,143325,0,0,59581.3,164416,0,0,204081,238367,262684,297412,204517,435011,435011,434624,434955,435011,433939,434322,434976,435009,434099,434548,433468,364640,330247,348664,310408,337955,397093,426652,429050,416441,402104,417295,430241,408848,408825,434996,431985,430926,280058,315171,113308,85196.1,42962.6,117398,426200,422209,421699,425166,386297,372032,389955,431858,432901,434919,434734,432856,433561,434896,434721,113216,68423.1,43945.7,125401,89150.3,28760.6,76362.2,108105,187534,227514,202373,244983,308585,279610,272722,242312,291428,153426,202436,153794,247908,256499,208731,174389,145723,434985,434984,434984,434904,434107,434407,434984,434886,434801,434750,433834,434314,433432,433001,334721,331614,302123,318979,327073,338619,287878,359614,357140,375616,376691,357480,375499,347495,390982,389211,430401,428000,401141,416226,416612,431489,428905,416374,421844,425563,422483,399922,416394,430247,431927,430436,432176,428298,427675,434621,434129,434493,433957,398542,399596,
100,0,389901,390031,434150,434154,0,390055,417691,410865,408948,413084,355299,334061,354712,371041,426113,427742,433651,433204,428898,430087,433769,433492,230920,125005,0,0,51641.7,143756,0,0,179495,211045,233721,267304,179852,434160,434157,432858,433954,434158,430945,431978,434030,434151,431363,432625,429759,336887,300264,319570,280143,308278,374692,416414,420665,400516,381096,401746,422866,389954,389931,434101,426406,424239,250466,284952,98550.8,73949.2,37211.7,102100,415641,409163,408388,413904,361643,345157,366016,426138,428416,433828,433206,428313,429985,433746,433169,98467.1,59344.1,38071.6,109199,77413.1,24909,66235.3,93977.9,164554,201000,177950,217201,278302,250003,243351,214698,261424,133958,178009,134319,219912,228006,183731,152714,127157,434062,434058,434058,433774,431386,432217,434058,433711,433423,433258,430662,431958,429672,428635,304886,301611,271938,288780,297059,308957,257997,331317,328628,349182,350422,328981,349061,318340,367219,365119,423206,418751,379878,400219,400764,425377,420392,400427,408608,414563,409590,378317,400451,422901,426281,423251,426814,419295,418178,432856,431443,432457,430984,376543,377916,
125,0,371689,371812,431978,431986,0,371833,406248,397222,394782,400125,333246,310921,332624,350307,418300,420805,430974,430110,422649,424595,431211,430665,209970,112287,0,0,46213.6,129325,0,0,162059,191324,212524,244618,162366,431999,431993,429454,431581,431996,426048,427854,431735,431981,426767,429016,424054,313917,276829,296193,257043,284826,354332,404534,410376,384297,361566,385788,413472,371740,371718,431879,418741,415498,228494,261760,88376.5,66233.6,33286.6,91555.1,403494,395047,394077,401182,340076,322539,344823,418332,421869,431329,430113,421705,424424,431164,430047,88299.5,53127.3,34060.3,97995.8,69352.9,22280.7,59299.7,84250,148356,181974,160642,197073,255239,228034,221683,194725,238943,120407,160697,120754,199598,207211,165964,137514,114253,431799,431791,431791,431220,426807,428278,431791,431094,430531,430213,425553,427818,423908,422209,281424,278129,249092,265504,273684,285497,235672,308139,305384,326750,328066,305737,326630,294956,346110,343844,413990,407703,360199,383946,384599,417187,409986,384195,394352,402054,395591,358434,384220,413544,418548,414038,419365,408463,406915,429456,426902,428707,426108,356423,357990,
150,0,354957,355070,428238,428250,0,355089,394255,383579,380766,386988,314403,291709,313768,332101,409254,412517,426709,425421,414972,417607,427069,426248,193821,102801,0,0,42202.9,118518,0,0,148877,176248,196181,226799,149149,428270,428260,424456,427630,428265,419610,422151,427865,428242,420614,423814,416869,294772,257993,277072,238753,265844,336324,392207,399291,368855,344037,370521,403101,355005,354985,428086,409821,405672,211395,243332,80819.4,60520.5,30389.5,83723.4,390963,381065,379957,388219,321456,303488,326386,409291,413925,427248,425425,413706,417371,426997,425332,80747.7,48529.4,31098.5,89659.2,63381,20340.9,54169.4,77030,136158,167482,147561,181649,237003,210945,204891,179438,221351,110282,147613,110613,184018,191205,152514,126103,104621,427963,427950,427950,427082,420669,422756,427951,426891,426048,425576,418915,422102,416669,414369,262494,259241,231097,246960,254939,266498,218232,288950,286197,307755,309101,286544,307637,275850,327710,325366,403770,396015,342585,368469,369192,407822,398806,368744,380272,389249,381693,340701,368770,403208,409569,403816,410631,396947,395061,424464,420799,423365,419689,338553,340234,
175,0,339800,339902,422990,423006,0,339919,382303,370445,367373,374213,298187,275508,297551,316130,399551,403417,420995,419337,406366,409566,421465,420401,180885,95372.5,0,0,39083,110033,0,0,138459,164242,183089,212341,138706,423033,423020,418102,422195,423026,412030,415192,422502,422996,413272,417283,408666,278580,242462,261113,223829,250116,320447,380012,388016,354504,328419,356283,392363,339843,339825,422791,400216,395356,197608,228258,74919.3,56069.5,28137.4,77609.3,378621,367695,366494,375564,305316,287257,310319,399590,405102,421698,419341,404837,409277,421371,419224,74852.1,44950.3,28795.6,83142.2,58726.5,18833.1,50175.5,71396,126542,155971,137226,169346,222137,197172,191390,167252,207111,102345,137275,102661,171582,178397,141875,117128,97073.9,422630,422614,422613,421481,413339,415950,422615,421232,420142,419535,411165,415132,408422,405629,246844,243659,216466,231762,239506,250752,204133,272798,270080,291512,292864,270419,291397,259914,311651,309281,393152,384289,326922,354097,354864,397866,387459,354388,366835,376708,368381,324973,354414,392499,399918,393193,401174,385350,383212,418115,413499,416712,412122,322750,324496,
200,0,326080,326173,416461,416480,0,326188,370652,357981,354738,361993,284075,261622,283443,302027,389534,393854,414087,412129,397181,400816,414645,413384,170216,89348.3,0,0,36565.1,103138,0,0,129952,154382,172291,200301,130179,416512,416496,410677,415513,416503,403637,407288,415878,416468,405066,409717,399791,264673,229373,247538,211350,236813,306372,368193,376848,341256,314461,343103,381581,326120,326103,416223,390272,384885,186182,215630,70145,52473.5,26320.8,72662.1,366699,355075,353813,363426,291191,273238,296199,389575,395750,414923,412133,395450,400485,414533,411998,70081.4,42060.3,26937.8,77863.7,54964.8,17617,46950.5,66838.8,118706,146536,128789,159231,209715,185759,180226,157239,195275,95902.4,128835,96205.3,161352,167841,133182,109826,90951.4,416031,416011,416011,414664,405143,408167,416012,414368,413079,412363,402640,407218,399512,396340,233628,230522,204265,219013,226515,237429,192425,258973,256307,277443,278786,256637,277331,246369,297526,295158,382459,372798,312945,340836,341630,387661,376239,341137,354172,364648,355799,310967,341162,381740,389939,382496,391342,373951,371634,410696,405326,409050,403740,308708,310485,
225,0,313600,313684,408918,408940,0,313698,359399,346202,342854,350370,271639,249536,271016,289453,379411,384054,406256,404071,387655,391608,406881,405471,161210,84329.9,0,0,34475.6,97385.3,0,0,122828,146088,163175,190059,123039,408976,408958,402456,407854,408966,394692,398706,408263,408926,396260,401389,390492,252545,218133,235795,200699,225355,293783,356829,365922,329011,301895,330896,370918,313636,313621,408651,380201,374441,176500,204837,66174.6,49486.7,24814,68548.2,355268,343200,341901,351854,278688,260959,283660,379452,386102,407192,404075,385778,391246,406756,403927,66114.2,39661.1,25396.5,73470.9,51839.6,16608.2,44273,63050.2,112153,138610,121723,150713,199120,176090,170781,148810,185223,90532,121768,90822.7,152735,158936,125898,103728,85849.7,408436,408413,408413,406902,396344,399675,408415,406570,405130,404332,393597,398630,390187,386737,222259,219237,193875,208105,215369,225952,182488,246954,244347,265094,266419,244668,264985,234656,284971,282625,371860,361653,300377,328585,329392,377404,365277,328891,342271,353127,343947,298392,328916,371094,379843,371893,381350,362868,360430,402478,396544,400649,394803,296126,297912,
