Y Coordinates:
0,3,0,3,6,6,3,5.59979,5.7999,4.04305,0.26101,0.521976,1.12906,1.02001,2.8404,1.87201,2.02705,0.461895,0.230948,1.19537,1.06366,4.20103,1.82973,1.32842,0.85134,0.64657,0,1.59689,3,3.095,2.51863,2.68117,3,2.22073,1.3714,1.66006,0.917591,0.741418,0,0,2.02792,2.26661,2.6184,2.44639,2.905,2.80256,3.19876,3,3.26125,3.39386,3.59613,3.81712,4.34312,4.47775,3.94391,3.67676,4.57482,4.764,4.3868,4.60676,4.84864,4.14333,3.39709,5.1103,5.24711,5.37771,5.57928,6,4.95317,5.14454,5.42631,6,5.78964,6,6,0,3,5.60473,5.80744,3.96165,0.149521,0.443272,1.15467,1.00356,1.82209,2.01193,0.191709,0.396348,1.20035,1.01946,0.571916,0.795086,0.816194,1.37726,1.38239,0.607757,2.11502,2.03614,1.84682,1.73277,1.60004,1.61496,2.82996,2.84045,2.60358,2.32678,2.6324,2.41723,2.20256,2.69923,2.54156,0.984795,0.802181,0.844091,1.31922,1.36367,1.11986,1.23068,1.02997,1.61239,0.167491,0.335738,0.590717,0.654875,0.332641,1.9271,2.01819,2.24465,2.3225,2.57643,2.3975,3.05729,3.19745,3.31262,3.40318,3.42378,3.65842,3.53623,3.46769,3.801,3.69664,4.19705,4.07936,4.05137,4.08461,3.89535,3.8971,3.66358,4.40362,4.58247,4.73389,5.00316,4.92886,4.4598,4.67946,5.15506,5.03324,5.21378,5.16667,4.94829,5.12963,5.39106,5.40272,5.62326,5.65717,5.41285,5.8617,5.77639,5.79991,5.60474,5.38793,4.66743,4.82725,4.58442,4.76937,4.43605,4.27115,4.28132,4.2119,3.21932,2.90793,3.13914,3.23614,2.76955,1.51552,1.79827,
Volumes:
0.011013,0.00912376,0.0119688,0.0132474,0.0117458,0.0075032,0.0269318,0.0202218,0.0220134,0.025315,0.0346509,0.0146036,0.016861,0.0107579,0.0156176,0.0223493,0.0190519,0.0210377,0.0244123,0.015275,0.0190513,0.020131,0.0201628,0.0210424,0.0215464,0.0200158,0.0161297,0.0279437,0.0351864,0.0107525,0.0261539,0.0189545,0.0239576,0.028283,0.0274205,0.0258318,0.0136907,0.017568,0.022159,0.0140744,0.0252175,0.0194544,0.0154857,0.0150606,0.00872386,0.0141089,0.0192629,0.029996,0.0181627,0.0176515,0.0171511,0.0198899,0.0156167,0.0138235,0.0229278,0.028378,0.017101,0.0220236,0.0202612,0.012816,0.026396,0.0176336,0.0243947,0.0129225,0.0129893,0.0177258,0.0230307,0.00961854,0.0173905,0.0259259,0.0248335,0.0230205,0.0179425,0.0245335,0.0224663,0.0243208,0.021485,0.0431404,0.0435095,0.0623757,0.0421063,0.0431305,0.0349323,0.0278378,0.0421774,0.0322945,0.0469219,0.0374691,0.0359903,0.0433102,0.0474305,0.0459516,0.044249,0.0408016,0.0328177,0.0422565,0.04826,0.0348438,0.0431303,0.0327718,0.0505885,0.0563106,0.0358298,0.0407658,0.0583012,0.0573313,0.0471805,0.0450923,0.0496235,0.0340387,0.0322957,0.027699,0.0390015,0.033051,0.0436302,0.0496501,0.030314,0.0310254,0.0476632,0.0483739,0.034001,0.0612496,0.0489601,0.0407381,0.048435,0.0355495,0.0516109,0.0327443,0.0432767,0.0320807,0.0264348,0.0192243,0.0423051,0.0438745,0.0424699,0.0472884,0.0611187,0.0412961,0.0363005,0.0367399,0.0570065,0.0401459,0.0475873,0.0192095,0.030596,0.0438483,0.0486012,0.0546042,0.0473032,0.0255661,0.03701,0.0374549,0.045389,0.0409206,0.0420863,0.0553058,0.0451407,0.0303932,0.0394341,0.0252593,0.0504998,0.0455371,0.0449473,0.0322118,0.0482072,0.0406571,0.0295969,0.0328102,0.0408058,0.0405221,0.048638,0.0364641,0.0372213,0.0417435,0.0602248,0.0662986,0.0342295,0.0415737,0.0387189,0.0378899,0.0358097,0.0239485,0.0478965,0.0366685,0.0256448,0.0337008,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,435167,435167,435167,0,435167,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,
25,435167,434639,435167,434643,0,0,434637,146233,74849.9,420370,435167,435167,435167,435167,434884,435163,435159,435167,435167,435167,435167,412943,435164,435167,435167,435167,435167,435166,434654,434410,435093,435017,434633,435147,435167,435166,435167,435167,435167,435167,435158,435141,435049,435110,434796,434918,434086,434650,433801,433062,431077,427234,403532,391801,423940,430012,382254,356654,400240,378045,343303,415933,433047,289847,254989,217796,153043,0,323988,281377,203116,0,78595.2,0,0,435167,434636,144568,72059.1,423438,435167,435167,435167,435167,435164,435159,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435155,435158,435163,435165,435166,435166,434896,434884,435061,435135,435044,435117,435148,435003,435082,435167,435167,435167,435167,435167,435167,435167,435167,435166,435167,435167,435167,435167,435167,435162,435159,435144,435134,435068,435120,434517,434093,433557,432983,432834,430343,431774,432480,427501,429757,413029,418778,419839,418651,425299,425331,430176,399152,380862,360978,313412,328600,393668,368950,279317,307296,263973,275553,324222,285313,213708,210313,137978,126440,207179,51805.2,83378.3,74833.1,144473,214701,370357,346576,380793,356772,396414,408571,407796,412340,434000,434797,434285,433947,434952,435166,435164,
50,435163,425768,435163,425795,0,0,425764,104934,53087.3,377066,435161,435154,435081,435105,428418,434482,434141,435156,435161,435062,435097,362240,434552,435013,435131,435148,435163,434839,425842,423782,431847,430364,425746,433508,434994,434780,435122,435141,435163,435163,434134,433317,430977,432328,427411,428910,421314,425826,419480,415240,406635,394093,346425,329207,385254,402625,315955,285760,341194,310937,271178,367979,415153,219853,189884,159646,110079,0,251654,212469,148034,0,55784.7,0,0,435163,425765,103691,51097.1,383968,435162,435157,435074,435108,434561,434176,435162,435158,435061,435105,435152,435137,435134,434988,434985,435150,433896,434108,434521,434688,434833,434824,428572,428421,431160,433042,430848,432505,433582,430164,431634,435111,435136,435131,435017,434995,435083,435050,435104,434827,435162,435160,435151,435147,435160,434371,434169,433403,433049,431354,432622,424653,421350,417979,414879,414123,403705,409428,412415,395018,401663,362551,373815,376177,373453,388776,388765,403264,339318,314495,290713,241654,256247,331715,299790,210418,235765,197395,207532,252236,215796,156427,153701,98903.1,90322.4,151260,36721.6,59234.9,53082.7,103658,157187,301564,274826,314295,285359,335235,354679,353445,361136,420735,427391,422777,420328,429361,434899,434600,
75,435013,408849,435014,408881,0,0,408844,86112.2,43395.3,339209,434984,434877,434154,434357,414286,430910,429544,434910,434988,434003,434281,322076,431222,433651,434598,434796,435011,432610,408947,405071,422422,418709,408822,427317,433519,432294,434515,434716,435012,435010,429523,426696,420212,423767,412173,415382,400568,408921,397443,390436,377502,360377,304815,286868,349091,371769,273339,244100,299234,268458,230337,328592,390285,183935,157821,131955,90398.9,0,212389,177469,122124,0,45607.3,0,0,435013,408844,85077.7,41765.1,347476,435001,434916,434096,434384,431262,429681,434996,434937,433993,434356,434849,434663,434639,433490,433469,434824,428631,429430,431086,431850,432582,432528,414618,414292,420634,425827,419890,424272,427560,418244,421895,434412,434653,434606,433676,433535,434167,433915,434344,432541,435000,434962,434836,434789,434961,430451,429645,426981,425865,421162,424614,406675,400631,394891,389878,388682,373231,381578,386032,361640,370387,322468,335401,338230,334934,353530,353470,372690,297182,271996,248849,203404,216593,289406,257519,175605,198076,164304,173191,213028,180350,129237,126913,81129.9,74003.8,124853,30009.2,48444.7,43392.2,85059.1,129877,259281,233795,271765,243556,292903,313738,312426,320835,399569,412114,403210,398830,416371,432953,431437,
100,434164,389950,434167,389981,0,0,389946,74764.8,37603.2,309549,434057,433677,431505,432069,397427,424184,421555,433790,434070,431103,431854,291896,424813,430198,432778,433404,434156,427752,390049,384951,409470,403827,389924,417542,429869,427052,432526,433143,434161,434153,421521,416465,406087,411624,394489,398996,379118,390021,375209,366569,351362,332174,274608,257045,319951,344794,243948,216372,269086,239333,203557,298546,366376,161273,137910,114983,78514.4,0,187067,155473,106313,0,39522.9,0,0,434165,389945,73860.5,36189.2,318215,434119,433813,431350,432147,424901,421817,434101,433887,431076,432069,433580,432977,432903,429805,429755,433499,419865,421353,424544,426116,427696,427567,397892,397434,406698,414984,405596,412446,417964,403144,408671,432228,432948,432802,430262,429913,431545,430874,432031,427594,434115,433975,433538,433380,433974,423287,421739,416965,415060,407534,413004,387039,379197,372014,365903,364462,346422,356082,361299,333587,343203,292312,305596,308562,305088,324727,324637,345854,267031,242717,220829,178905,190922,259492,228947,153772,174049,143683,151657,187700,158043,112589,110532,70424.6,64200.6,108719,26000.1,41989,37600.8,73848,113152,230631,206783,242482,215788,262832,283501,282205,290633,377858,394394,382522,376905,400402,428542,425253,
125,432006,371734,432013,371762,0,0,371730,66974,33645.3,286079,431786,431024,427007,428008,380562,415401,411611,431248,431813,426311,427624,268554,416333,424772,429305,430491,431990,420814,371827,365967,395423,388351,371710,406045,424220,419717,428836,429990,432000,431983,411569,404587,391164,398207,377071,382460,359324,371799,354965,345413,329072,309039,251681,234777,296538,322124,222254,196294,246332,217902,184322,275116,345195,145329,124021,103226,70347.8,0,169042,140031,95387.6,0,35364.3,0,0,432007,371729,66160.6,32379.3,294770,431914,431294,426738,428149,416469,411988,431876,431443,426263,428009,430834,429676,429537,424121,424041,430675,409230,411335,415938,418297,420733,420520,381116,380568,391906,402599,390550,399280,406619,387511,394423,428297,429622,429348,424879,424299,427080,425917,427937,420562,431905,431620,430752,430445,431617,414098,411866,405267,402709,392980,400009,368351,359412,351400,344690,343118,323817,334097,339689,310512,320436,268974,282136,285112,281616,301403,301296,323248,244327,221116,200477,161530,172610,237112,208086,138462,157051,129272,136557,169654,142371,101064,99200.4,63078.3,57482.9,97562,23261.4,37574.9,33643.2,66151.4,101572,209684,187339,220885,195706,240279,260334,259080,267310,357913,376950,363188,356830,384152,422079,416991,
150,428278,354998,428289,355022,0,0,354994,61202.6,30721.8,267067,427940,426783,420946,422366,364689,405537,400799,427122,427982,419971,421817,249917,406721,417841,424236,425985,428253,412524,355082,348762,381489,373415,354977,394011,417085,411081,423555,425241,428270,428243,400750,392259,376611,384733,360841,366807,341641,355056,337034,326992,310137,289864,233592,217387,277388,303045,205436,180915,228442,201320,169664,256313,326761,133336,113629,94468.2,64294.6,0,155382,128431,87261,0,32292.4,0,0,428280,354993,60457.2,29565.4,275627,428137,427191,420569,422567,406899,401268,428078,427417,419903,422367,426498,424780,424576,416954,416847,426260,397867,400464,406223,409245,412422,412134,365303,364695,377441,389886,375911,385991,394700,372467,380349,422780,424702,424300,417989,417196,421051,419423,422263,412188,428124,427686,426375,425916,427683,403899,401110,393079,390024,378688,386846,351323,341735,333263,326241,324604,304754,315288,321047,291353,301318,250332,263195,266128,262676,282231,282113,304194,226502,204374,184858,148393,158714,219612,192024,126969,144219,118476,125222,155970,130592,92481.5,90765.5,57637.8,52512.4,89259.9,21238.9,34313.4,30720,60450,92947.9,193541,172501,204150,180335,222618,241947,240741,248706,340146,360701,345775,338986,368688,414211,407563,
175,423042,339837,423056,339858,0,0,339834,56705.1,28448.3,251305,422599,421091,413680,415456,350062,395192,389727,421531,422654,412471,414768,234621,396571,409847,417821,420059,423009,403421,339913,333328,368152,359398,339818,382030,408921,401700,416955,419102,423031,422996,389675,380063,362853,371717,345991,352321,325939,339889,321206,310929,293909,273713,218867,203333,261405,286801,191911,168651,213915,188005,158017,240825,310691,123891,105476,87617.5,59575.8,0,144569,119303,80910.4,0,29903.2,0,0,423045,339833,56013.1,27377.1,259671,422857,421621,413212,415709,396784,390269,422780,421915,412386,415459,420722,418513,418254,408766,408637,420414,386381,389350,395994,399537,403303,402953,350712,350067,363739,377411,362094,373107,382804,358379,366916,415978,418414,417902,410029,409060,413814,411794,415326,403018,422839,422266,420562,419970,422262,393296,390081,380986,377569,365105,374051,335988,326036,317331,310168,308504,288500,299088,304897,275195,285068,235027,247529,250396,247017,266173,266050,287954,212044,190914,172386,138010,147705,205456,179169,117930,134089,109999,116308,145133,121321,85769.4,84170.9,53399.1,48642.3,82770.3,19666.3,31776.2,28446.6,56007.3,86203.1,180613,160699,190697,168085,208318,226918,225760,233447,324400,345837,330222,323198,354324,405451,397558,
200,416521,326114,416537,326133,0,0,326111,53070.8,26613.9,237966,415991,414199,405533,407591,336645,384698,378705,414720,416057,404140,406792,221774,386222,401133,410348,412979,416482,393856,326183,319461,355554,346359,326096,370359,400075,391925,409335,411851,416507,416465,378650,368242,349979,359335,332444,338991,311943,326160,307161,296808,279829,259881,206577,191664,247812,272777,180725,158569,201812,177002,148467,227783,296566,116199,98853.5,82065.9,55761.7,0,135730,111875,75768.1,0,27975.3,0,0,416524,326109,52422.2,25611.6,246113,416299,414828,404995,407885,386461,379298,416207,415178,404042,407594,413762,411159,410855,399901,399756,413398,375060,378298,385587,389516,393727,393329,337317,336650,350900,365396,349182,360814,371193,345294,354256,408198,411043,410443,401340,400236,405689,403363,407439,393401,416279,415595,413573,412874,415590,382614,379088,369237,365569,352346,361819,322170,312040,303245,296046,294377,274452,284978,290768,261344,271055,222171,234295,237088,233793,252481,252355,273922,200008,179781,162123,129532,138699,193696,168573,110577,125824,103109,109056,136272,113775,80331.3,78829.1,49974.5,45516.9,77514.3,18397.6,29728.8,26612.3,52417.3,80738.3,169954,151016,179572,158019,196429,214335,213221,220639,310386,332282,316296,309163,341067,396148,387316,
225,408984,313630,409003,313648,0,0,313628,50051.8,25091.8,226474,408389,406381,396770,399038,324309,374238,367878,406964,408463,395241,398157,210773,375864,391950,402089,405017,408940,384056,313694,306923,343691,334232,313615,359094,390797,381972,400966,403759,408969,408922,367821,356877,337950,347608,320043,326702,299368,313673,294589,284263,267451,247849,196103,181761,236054,260499,171261,150081,191513,167700,140444,216590,284021,109769,93330.6,77444.1,52592.7,0,128320,105670,71489.5,0,26375.7,0,0,408988,313627,49439.5,24146.7,234395,408735,407084,396179,399362,376121,368507,408632,407476,395134,399042,405892,402989,402652,390609,390451,405485,364030,367451,375187,379390,383918,383486,324993,324313,338890,353904,337131,349144,359967,333142,342356,399709,402861,402195,392177,390973,396944,394390,398869,383563,408712,407944,405680,404899,407939,372022,368282,357921,354088,340386,350187,309648,299466,290674,283506,281848,262143,272538,278267,249286,258800,211159,222909,225625,222419,240612,240484,261628,189772,170364,153476,122432,131146,183711,159634,104436,118907,97361.1,102999,128842,107469,75804.4,74383.2,47130.1,42922,73140.4,17345.1,28029.7,25090.4,49435.3,76189.1,160956,142876,170162,149547,186329,203586,202513,209674,297810,319876,303740,296582,328817,386537,377033,
