Y Coordinates:
6,6,0,0,3,3,5.63651,5.66829,1.87631,0,0,1.19537,0.604173,1.96837,3,2.3159,2.23939,3.73894,4.06902,3.28412,3.56923,4.03534,0.302086,1.22214,0.47963,0.958531,4.94951,4.98296,5.33763,6,5.27428,6,4.54481,4.58011,1.49667,3.36947,2.6197,2.65795,2.28897,2.20498,1.65121,2.61923,2.64154,3.36212,3.36428,3.74204,3.8041,4.31634,1.23834,0.798079,1.11879,0.714569,0.354508,0.408054,5.26276,4.80446,5.29463,4.90718,5.65191,5.6378,
Volumes:
0.0301817,0.0279752,0.0262234,0.038946,0.0820924,0.0809028,0.0598837,0.0557919,0.151078,0.0685642,0.0587771,0.140481,0.0774848,0.0930434,0.202305,0.0358132,0.0913418,0.0395303,0.126028,0.0607276,0.0533066,0.0780262,0.052567,0.0305584,0.0812548,0.0890571,0.0419135,0.0486153,0.0569676,0.0580474,0.0557126,0.060106,0.0679476,0.138986,0.0561902,0.0649275,0.080652,0.0591638,0.105998,0.183076,0.295829,0.127288,0.103848,0.124454,0.113686,0.125791,0.215171,0.262936,0.0891575,0.118601,0.19486,0.111424,0.114899,0.136463,0.137745,0.211451,0.129688,0.135934,0.118242,0.122286,

 Time(s),  P(Pa) on vertices
0,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,435167,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,
25,0,0,435167,435167,434622,434637,133945,122290,435163,435167,435167,435167,435167,435164,434684,435140,435146,428647,420064,433718,431435,420768,435167,435167,435167,435167,324282,318031,229440,0,248138,0,385341,384760,435167,433137,435059,435044,435144,435152,435167,435057,435043,433291,433212,428378,428053,406087,435167,435167,435167,435167,435167,435167,252101,353350,242145,332189,128335,133528,
50,0,0,435163,435164,425551,425702,95808.1,87394.7,434514,435163,435163,435079,435153,434294,425923,433035,433467,398586,375744,418867,407907,377755,435161,435053,435157,435121,252203,246001,169024,0,184090,0,320066,317049,434914,415855,431027,430567,433173,433620,434815,430977,430700,416352,416081,398214,395705,349950,435046,435136,435087,435144,435160,435159,187020,280470,179198,260040,91729.1,95473.6,
75,0,0,435012,435019,408578,408769,78465.5,71579.8,430983,435015,435013,434073,434843,430108,409072,425854,427165,366484,337268,396392,379348,339987,434972,433922,434908,434478,212844,207146,139889,0,152673,0,277431,273650,433020,391591,420309,419222,426266,427645,432424,420225,419586,392235,391909,366104,362149,308366,433872,434648,434186,434735,434955,434935,155102,238465,148530,220043,75126.4,78188.7,
100,0,0,434156,434178,389691,389882,68041.9,62075.2,424266,434165,434160,431239,433547,422612,390191,415083,417252,338998,307311,373882,353496,310344,434006,430895,433775,432401,187452,182212,121962,0,133241,0,247864,243894,428696,368058,406208,404619,415770,418074,427290,406112,405185,368760,368427,338627,333925,278030,430770,432935,431588,433204,433946,433872,135359,210824,129591,194072,65148.6,67801.3,
125,0,0,431988,432032,371508,371687,60910.8,55572.3,415472,432005,431995,426506,430761,413116,371976,402779,405625,316162,283725,353482,331351,286879,431681,425963,431215,428595,169397,164537,109537,0,119739,0,225994,222031,422329,347103,391294,389354,403690,406733,420051,391199,390071,347823,347500,315803,310736,254965,425754,429604,427152,430111,431560,431412,121642,190964,116442,175539,58322.4,60695.3,
150,0,0,428249,428317,354798,354962,55639.3,50764.7,405582,428276,428260,420210,426383,402661,355224,390131,393475,297069,264676,335455,312474,267856,427779,419493,427070,423197,155720,151174,100277,0,109659,0,209008,205124,414548,328791,376734,374561,391211,394803,411484,376644,375383,329510,329201,296723,291493,236738,419207,424680,421147,425424,427594,427369,111402,175821,106629,161466,53276,55442.5,
175,0,0,423003,423093,339657,339806,51538.2,47024.1,395208,423039,423017,412741,420569,391858,340043,377704,381399,280887,248919,319573,296257,252078,422387,411884,421461,416493,144898,140615,93031.4,0,101764,0,195333,191554,405856,312782,362959,360638,378905,382887,402151,362877,361531,313493,313198,280554,275274,221887,411535,418390,413927,419340,422145,421852,103380,163786,98945.4,150311,49349.8,51355.8,
200,0,0,416473,416581,325950,326085,48228.2,44005,384687,416516,416490,404432,413578,381028,326300,365723,369656,266966,235610,305502,282164,238724,415739,403469,414637,408790,136053,131994,87158.6,0,95359.1,0,184012,180345,396605,298683,350070,347657,367009,371257,392407,349994,348596,299380,299099,266645,261379,209482,403070,411017,405816,412133,415450,415103,96873.9,153917,92713.9,141184,46181,48057.6,
225,0,0,408930,409051,313480,313604,45480.9,41499,374204,408979,408950,395547,405683,370332,313800,354255,358339,254811,224161,292924,269758,227215,408105,394508,406870,400357,128638,124773,82267.7,0,90022.2,0,174425,170872,387031,286139,338026,335564,355596,360014,382474,337957,336531,286820,286552,254501,249289,198903,394072,402835,397079,404074,407782,407392,91452.1,145623,87521.8,133524,43550.7,45320,
250,0,0,400632,400763,302053,302167,43148.5,39371.3,363856,400684,400653,386288,397130,359847,302347,343293,347463,244048,214147,281565,258698,217134,399741,385198,398409,391419,122292,118597,78104,0,85476.5,0,166151,162707,377297,274855,326743,324262,344667,349183,372494,326679,325242,275521,275263,243748,238616,189718,384737,394076,387927,395405,399392,398972,86834.1,138508,83100,126963,41317.6,42995.8,
275,0,0,391801,391939,291497,291604,41130.2,37530.1,353697,391856,391823,376812,388125,349611,291770,332806,337013,234393,205260,271203,248720,208176,390865,375690,389467,382156,116762,113219,74492.5,0,81532.1,0,158888,155550,367516,264597,316125,313647,334195,338755,362556,316067,314631,265245,264997,234103,229066,181617,375212,384933,378521,386321,390499,390058,82826.9,132298,79263.5,121241,39385.2,40984.7,
300,0,0,382618,382760,281672,281771,39354.7,35910.3,343754,382675,382641,367236,378834,339637,281926,322755,326961,225628,197265,261659,239615,200108,381654,366097,380215,372706,111867,108460,71308.7,0,78053.5,0,152419,149183,357769,255175,306087,303628,324146,328709,352723,306032,304608,255806,255568,225347,220415,174369,365610,375557,368987,376982,381277,380823,79293,126792,75880.3,116174,37685.2,39215.5,
325,0,0,373228,373372,272460,272553,37769.7,34464.2,334044,373285,373251,357649,369387,329931,272699,313102,317279,217584,189987,252793,231224,192757,372249,356504,370788,363179,107473,104191,68461.3,0,74941.4,0,146580,143442,348115,246443,296554,294125,314485,319020,343036,296503,295096,247057,246827,217312,212493,167802,356013,366066,359421,367510,371866,371406,76131.4,121843,72853.9,111622,36167.6,37636.1,
350,0,0,363742,363887,263770,263859,36336.3,33156.4,324573,363800,363765,348116,359882,320491,263997,303812,307941,210133,183292,244492,223423,185989,362758,346974,361290,353655,103480,100313,65882,0,72121.6,0,141249,138204,338595,238284,287463,285074,305181,309664,333525,287415,286031,238882,238660,209869,205166,161786,346484,356552,349892,358000,362373,361911,73266.8,117341,70111.8,107485,34795.1,36207.7,
375,0,0,354246,354391,255529,255613,35025,31960.1,315346,354304,354269,338687,350398,311313,255744,294858,298922,203174,177076,236669,216113,179700,353265,337556,351801,344197,99812.6,96752.4,63519.3,0,69537.8,0,136331,133377,329238,230610,278766,276421,296206,300621,324208,278720,277362,231191,230977,202918,198332,156219,337069,347082,340454,348523,352881,352420,70642,113200,67599.4,103682,33539.5,34901.2,
400,0,0,344805,344949,247678,247758,33813.5,30854.7,306362,344862,344828,329399,340991,302393,247883,286213,290202,196628,171259,229256,209220,173811,343833,328282,342382,334850,96411.4,93451.3,61333.4,0,67147,0,131753,128886,320065,223347,270419,268124,287537,291872,315098,270376,269047,223912,223705,196379,191912,151025,327802,337707,331148,339135,343452,342995,68213.1,109357,65274.7,100154,32379.5,33693.9,
425,0,0,335467,335609,240171,240248,32684.4,29824.5,297620,335524,335490,320277,331704,293724,240367,277857,281765,190434,165777,222198,202683,168259,334507,319179,333076,325648,93231.7,90365.9,59294,0,64915.9,0,127460,124677,311091,216441,262392,260148,279155,283401,306205,262350,261051,216990,216790,190193,185844,146144,318706,328465,322001,329873,334132,333681,65946.6,105762,63105.5,96855.2,31298.3,32568.8,
450,0,0,326268,326407,232970,233044,31624.2,28857.1,289116,326324,326290,311339,322567,285301,233159,269773,273593,184545,160584,215452,196456,162996,325324,310262,323916,316616,90238.2,87462,57377.5,0,62819,0,123408,120707,302325,209847,254655,252465,271042,275195,297531,254615,253347,210380,210186,184311,180079,141529,309798,319384,313033,320768,324955,324512,63816.4,102374,61066.8,93748.6,30283.1,31512.4,
475,0,0,317233,317370,226047,226118,30622.6,27943.2,280847,317288,317255,302599,313604,277118,226229,261946,265675,178922,155639,208984,190502,157984,316307,301545,314927,307769,87403.8,84712.8,55565.4,0,60836,0,119563,116940,293773,203530,247187,245052,263185,267240,289079,247149,245912,204048,203860,178695,174578,137143,301090,310483,304259,311840,315945,315511,61801.9,99165.2,59138.9,90806.4,29324,30514.3,
500,0,0,308381,308515,219376,219445,29671.4,27075.2,272808,308435,308403,294063,304829,269167,219552,254362,257999,173535,150914,202767,184791,153193,307475,293034,306124,299121,84706.9,82097.5,53843.3,0,58951.3,0,115898,113351,285436,197461,239970,237889,255571,259525,280848,239933,238728,197965,197782,173314,169311,132958,292589,301776,295687,303103,307121,306695,59887.3,96110.5,57306.6,88006.4,28413.1,29566.4,
525,0,0,299725,299855,212939,213005,28764,26247.3,264994,299776,299745,285738,296253,261444,213108,247010,250554,168360,146383,196779,179300,148597,298839,284733,297519,290677,82130.7,79599.5,52199.9,0,57152.6,0,112392,109919,277316,191619,232987,230962,248189,252042,272838,232952,231779,192108,191931,168146,164254,128950,284299,293271,287324,294567,298493,298077,58060,93191.4,55558,85331.3,27544.3,28662.3,
550,0,0,291271,291398,206718,206782,27895.5,25454.8,257400,291321,291291,277624,287883,253941,206882,239881,243332,163378,142028,191001,174009,144180,290406,276645,289118,282443,79661.7,77205.7,50626.2,0,55430,0,109027,106626,269412,185984,226227,224256,241029,244781,265046,226192,225051,186459,186287,163171,159388,125100,276222,284973,279172,286238,290068,289663,56310.1,90392.9,53883.3,82767.2,26712.6,27796.9,
575,0,0,283025,283149,200701,200763,27061.8,24694.1,250021,283074,283044,269723,279722,246653,200859,232965,236324,158574,137833,185418,168903,139924,282182,268769,280926,274419,77289.1,74905.6,49114.9,0,53775.7,0,105791,103459,261722,180542,219677,217759,234082,237734,257468,219643,218533,181004,180837,158372,154696,121396,268357,276886,271231,278119,281853,281457,54629.5,87703.1,52275.1,80303.1,25914.3,26966.1,
600,0,0,274988,275110,194875,194935,26259.6,23962,242851,275037,275008,262033,271772,239573,195028,226254,229521,153933,133786,180018,163969,135817,274168,261104,272944,266606,75004.4,72690.8,47660.4,0,52183.4,0,102673,100407,254242,175279,213327,211463,227341,230894,250100,213295,212215,175728,175566,153738,150165,117823,260702,269009,263502,270210,273847,273461,53011.9,85112.3,50727.2,77929.9,25146.1,26166.7,
625,0,0,267162,267280,189231,189290,25486.2,23256.4,235885,267209,267181,254550,264030,232696,189380,219741,222919,149447,129875,174791,159196,131848,266363,253647,265172,259002,72800.4,70554.4,46257.8,0,50647.9,0,99662,97462.2,246969,170186,207170,205357,220798,224253,242938,207139,206089,170622,170465,149256,145785,114373,253256,261341,255980,262510,266051,265676,51452,82612.6,49234.5,75640.5,24405.5,25396.1,
650,0,0,259545,259660,183761,183817,24739.5,22575,229118,259591,259563,247274,256497,226017,183905,213419,216508,145104,126093,169728,154575,128010,258767,246395,257608,251605,70671.3,68490.7,44903.4,0,49165.1,0,96752.4,94615.9,239898,165253,201197,199435,214446,217806,235978,201166,200146,165676,165524,144919,141547,111038,246014,253881,248665,255018,258463,258098,49945.7,80197.6,47793.1,73428.7,23690.5,24652,
675,0,0,252134,252245,178456,178511,24017.7,21916.4,222543,252178,252152,240198,249170,219528,178596,207281,210284,140898,122432,164820,150099,124293,251377,239344,250250,244411,68612.3,66495,43593.9,0,47731.5,0,93937.4,91862.4,233026,160473,195401,193688,208280,211546,229213,195372,194380,160884,160736,140718,137442,107810,238974,246624,241552,247731,251082,250727,48489.3,77861.9,46399.4,71289.7,22999.3,23932.8,
700,0,0,244926,245035,173310,173363,23319.3,21279,216157,244969,244944,233321,242044,213226,173446,201322,204241,136822,118885,160061,145760,120693,244191,232490,243094,237417,66619.4,64563.3,42326.7,0,46344.1,0,91211.8,89196.5,226348,155838,189776,188112,202293,205467,222641,189747,188784,156237,156093,136648,133465,104685,232130,239569,234637,240645,243903,243558,47079.9,75600.9,45050.7,69219.2,22330.5,23236.8,
725,0,0,237918,238024,168317,168369,22643,20661.9,209953,237960,237935,226636,235116,207105,168448,195536,198372,132870,115447,155445,141552,117204,237203,225829,236137,230618,64688.9,62692.3,41099.5,0,45000.5,0,88571.1,86613.7,219858,151342,184316,182699,196479,199564,216255,184288,183352,151730,151590,132701,129609,101656,225479,232710,227915,233756,236924,236588,45714.9,73410.7,43744.6,67213.6,21682.8,22562.9,
750,0,0,231106,231209,163471,163521,21987.6,20063.9,203927,231147,231122,220140,228382,201159,163599,189917,192673,129037,112114,150966,137470,113820,230411,219355,229375,224010,62818,60879,39910.3,0,43698.4,0,86011.2,84110,213553,146981,179015,177444,190834,193831,210051,178988,178079,147357,147221,128872,125869,98718.8,219016,226044,221384,227060,230139,229813,44392.2,71287.9,42478.8,65269.8,21055.3,21909.9,
775,0,0,224485,224585,158767,158816,21352.3,19484.1,198073,224525,224501,213828,221838,195384,158892,184461,187138,125318,108881,146620,133510,110538,223809,213066,222803,217589,61003.9,59120.8,38757.3,0,42436.1,0,83528.7,81682.2,207427,142748,173869,172342,185352,188264,204024,173843,172959,143114,142982,125158,122241,95870.6,212736,219565,215036,220553,223545,223228,43109.8,69229.5,41251.7,63385,20446.9,21276.8,
800,0,0,218051,218148,154201,154249,20736.1,18921.9,192387,218089,218066,207696,215479,189774,154322,179162,181763,121709,105744,142401,129666,107353,217394,206954,216416,211350,59244.3,57415.5,37639.1,0,41211.7,0,81120.5,79327,201476,138640,168871,167389,180028,182857,198170,168846,167987,138995,138867,121554,118720,93107.3,206634,213270,208870,214230,217138,216830,41866,67232.9,40061.5,61556.8,19856.8,20662.8,
825,0,0,211799,211893,149768,149814,20138.4,18376.4,186864,211836,211814,201737,209299,184326,149885,174016,176543,118206,102699,138305,125935,104263,211161,201017,210210,205288,57537.1,55761,36554.2,0,40023.9,0,78783.7,77041.7,195694,134652,164019,162579,174857,177605,192482,163994,163160,134997,134873,118056,115303,90425.8,200706,207154,202878,208086,210912,210612,40659.3,65295.7,38906.8,59783.1,19284.4,20067.2,
850,0,0,205724,205816,145463,145508,19558.3,17847.1,181500,205761,205739,195949,203296,179034,145577,169018,171473,114806,99743.8,134329,122313,101263,205105,195250,204181,199399,55880.4,54155.3,35501.4,0,38871.2,0,76515.8,74823.9,190078,130780,159307,157907,169835,172505,186957,159283,158473,131115,130994,114660,111986,87823.3,194947,201211,197057,202117,204862,204571,39488.4,63415.6,37786.4,58061.7,18729,19489.2,
875,0,0,199823,199911,141283,141327,18995.4,17333.4,176289,199858,199837,190326,197464,173893,141394,164164,166549,111505,96875,130468,118797,98350.2,199221,189647,198323,193677,54272.3,52596.9,34479.7,0,37752.5,0,74314.3,72671,184623,127021,154730,153371,164958,167551,181591,154707,153920,127346,127229,111363,108766,85296.9,189353,195438,191403,196319,198985,198703,38351.9,61590.8,36698.8,56390.9,18189.9,18928.2,
900,0,0,194089,194176,137224,137266,18448.9,16834.8,171228,194124,194103,184864,191798,168901,137331,159450,161766,108300,94089.7,126718,115382,95522.5,193504,184204,192633,188119,52711.2,51084,33487.8,0,36666.5,0,72177.2,70581,179324,123370,150286,148966,160220,162740,176378,150263,149499,123687,123573,108162,105639,82844.1,183918,189830,185910,190685,193276,193001,37248.6,59819.3,35643.1,54768.9,17666.6,18383.7,
925,0,0,188520,188603,133282,133323,17918.4,16350.7,166312,188553,188533,179558,186293,164051,133386,154871,157121,105188,91385.3,123078,112067,92777,187951,178917,187105,182720,51195.6,49615.1,32524.8,0,35612.1,0,70102.2,68551.9,174176,119826,145970,144687,155620,158067,171315,145948,145205,120133,120022,105054,102603,80462.7,178639,184382,180574,185213,187729,187463,36177.5,58099.4,34618.2,53194.2,17158.6,17855,
950,0,0,183109,183191,129454,129493,17403.3,15880.6,161537,183142,183122,174404,180947,159341,129555,150424,152610,102165,88759.2,119542,108847,90110.9,182557,173781,181735,177476,49724.1,48189,31589.9,0,34588.4,0,68087.3,66581.6,169176,116383,141778,140532,151151,153528,166397,141756,141035,116682,116574,102035,99655.2,78150.3,173511,179090,175391,179897,182342,182083,35137.6,56429.4,33623.1,51665.2,16665.3,17341.7,
