Y Coordinates:
6,6,0,0,3,3,5.80228,5.80914,3.31837,3.23348,2.66575,0.428636,0.261344,3,3,6,5.60475,6,5.61847,5.34994,5.0542,5.29974,5.08735,0,0,0.523097,0.81074,1.31673,1.05987,4.56597,4.88104,4.41039,4.73106,3.15918,3.52026,4.19542,4.25013,3.96114,3.97102,3.72535,3.46647,2.83287,2.81106,2.6227,2.48131,1.7761,1.51749,1.80685,2.13546,2.18792,2.45953,0.831958,0.65825,1.44004,1.1287,0.214318,0,0,6,6,2.0975,1.99396,1.80419,2.79653,3.15299,3.85766,3.88793,4.18792,4.20199,5.10809,5.40417,5.12609,5.45709,5.88651,5.86531,5.77506,5.7341,0.180456,0.207443,0.334964,0.613379,1.2654,0.932602,0.628076,0.310112,0.402829,1.21411,0.901688,3.33199,4.7745,4.43731,4.53154,4.87158,3.51127,3.53845,3.31483,3.298,3.13708,3.19729,2.6159,2.75827,2.57803,2.62084,1.56835,1.58631,2.2877,2.43774,
Volumes:
0.00923533,0.00696187,0.00995653,0.0133237,0.0269775,0.0302407,0.0148179,0.0253537,0.00965977,0.0307506,0.0120885,0.00617112,0.024752,0.0869838,0.0573607,0.0297577,0.0416702,0.0223799,0.0257395,0.0318694,0.0629526,0.0471996,0.0378622,0.029115,0.0344422,0.0527688,0.0293863,0.0363012,0.0280147,0.0368569,0.0306645,0.0321194,0.0383121,0.0166352,0.0645267,0.0416238,0.0597341,0.064173,0.0295728,0.0279937,0.0359256,0.0205699,0.0324436,0.0213213,0.0503157,0.0492244,0.0291674,0.0760433,0.0326466,0.0395776,0.0308587,0.0452082,0.0425352,0.0458819,0.0543296,0.0222323,0.0246277,0.0180756,0.0119182,0.014205,0.145336,0.0869268,0.102405,0.087025,0.0508171,0.112016,0.12558,0.0907877,0.106842,0.102847,0.113463,0.0930908,0.115532,0.0315052,0.0146946,0.081762,0.112314,0.0263246,0.0324097,0.0941244,0.0899927,0.104576,0.113091,0.0995967,0.094413,0.0358641,0.11881,0.108258,0.0244388,0.127002,0.102618,0.128764,0.104717,0.117142,0.0756874,0.0685542,0.0425973,0.0340185,0.0320154,0.0348523,0.0490245,0.0953687,0.033041,0.129563,0.104354,0.114004,0.0784203,

 Time(s),  P(Pa) on vertices
0,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,435167,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,
25,0,0,435167,435167,434654,434667,73913.9,71226.1,433572,433980,435034,435167,435167,434679,434646,0,144165,0,139474,226273,304592,240771,294870,435167,435167,435167,435167,435167,435167,382357,337416,398431,361425,434265,432064,413354,410824,423828,423010,429118,432519,434905,434921,435057,435112,435165,435166,435165,435155,435150,435112,435167,435167,435167,435167,435167,435167,435167,0,0,435157,435161,435164,434943,434269,426631,425739,413739,413322,291018,210114,286430,194395,42486.5,50459.8,83914.9,99210.9,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,433495,356478,395610,387821,339029,432181,431812,433594,433694,434326,434138,435056,434973,435077,435053,435166,435166,435142,435116,
50,0,0,435163,435163,425771,425846,52448.4,50574.2,417856,420429,430564,435157,435161,425917,425762,0,103564,0,100051,166253,232274,178030,224495,435163,435163,435154,435134,435016,435096,316624,265098,338297,291080,422393,410309,362840,357704,384256,382962,399645,412460,428561,428822,430993,432212,434653,434902,434608,433844,433640,432275,435132,435147,434952,435080,435162,435163,435163,0,0,433983,434234,434597,429084,422516,391771,389456,363598,362469,220568,153444,216578,140887,30126.2,35760.3,59597,70460.5,435162,435161,435160,435150,435039,435121,435149,435160,435158,435057,435124,417409,284692,334544,322660,266720,410758,409349,417968,418530,422905,421432,431021,429546,431419,430962,434861,434848,433239,432403,
75,0,0,435008,435008,408836,408947,42867,41348.5,394643,398993,419153,434916,434981,409035,408844,0,84992.6,0,82082.3,137523,194678,147562,188054,435013,435013,434881,434639,433673,434277,274177,224707,296125,249180,402439,382795,322687,316744,347642,346294,367757,386097,414562,415175,420210,423323,431644,432958,431443,428419,427753,423584,434615,434785,433264,434146,434989,435006,435008,0,0,428905,429876,431421,415705,402695,357147,354263,323550,322156,184454,126645,180984,115986,24617.1,29217.7,48727.9,57608,434991,434987,434960,434819,433832,434500,434809,434969,434929,433961,434531,393909,242814,292334,279856,226230,383428,381428,394826,395743,403394,400716,420310,416754,421264,420156,432742,432662,426415,423962,
100,0,0,434146,434145,389932,390054,37141.9,35832.6,371693,377109,404464,433816,434044,390137,389952,0,73792.8,0,71256,119882,170849,128761,164991,434163,434163,433690,432908,430258,431849,244834,198371,266007,221136,381489,357461,292497,286371,318325,317010,340354,361384,397798,398693,406051,410821,425646,428544,425237,419465,418302,411305,432838,433369,429265,431492,434075,434139,434145,0,0,420327,422168,425215,399412,381835,328553,325476,293376,291900,161691,110273,158592,100863,21326.9,25311.7,42228.6,49923,434083,434066,433971,433484,430655,432481,433448,434001,433861,430993,432579,370790,215049,262352,250108,199789,358183,355906,371920,373040,382736,379279,406224,400931,407637,405994,428056,427870,415967,411924,
125,0,0,431969,431967,371716,371835,33231.4,32063.5,351037,357057,389120,431305,431760,371908,371741,0,66104.8,0,63827.3,107654,154050,115696,148744,432005,432005,431050,429551,424877,427623,223150,179515,243355,200772,361992,335547,269144,263063,294855,293592,317533,339789,380994,382086,391093,397100,417552,422072,416939,408664,407076,397775,429422,430426,423239,426992,431824,431954,431967,0,0,409844,412474,416926,382926,362391,305271,302154,270010,268523,145690,98956.4,142867,90443.1,19080.2,22644.7,37787.2,44671.6,431841,431806,431613,430648,425540,428752,430579,431673,431392,426120,428940,350042,194994,239867,228068,180841,336310,333913,351290,352521,363415,359490,391325,384776,393069,391043,421297,420999,403904,398584,
150,0,0,428222,428219,354981,355093,30344.3,29280.1,332877,339225,374272,427211,427902,355156,355008,0,60411.3,0,58327.1,98542.5,141398,105946,136513,428277,428277,426823,424600,417989,421822,206327,165176,225587,185146,344479,316763,250497,244547,275703,274495,298433,321157,365160,366383,376509,383392,408261,414195,407473,397167,395250,384214,424413,425890,415762,420930,427999,428199,428219,0,0,398593,401863,407472,367299,344910,286067,282976,251340,249871,133662,90538.5,131054,82707.2,17421.8,20676.2,34507.2,40793.6,428026,427972,427677,426221,418897,423432,426118,427769,427342,419704,423710,331833,179659,222262,210942,166424,317543,315104,333143,334433,346006,341808,376787,369373,378758,376471,413165,412767,391435,385162,
175,0,0,422969,422964,339821,339925,28099.7,27115.7,316931,323442,360310,421649,422549,339980,339848,0,55975.3,0,54042.3,91413,131425,98308.2,126875,423042,423041,421144,418287,410031,414778,192791,153798,211181,172669,328867,300563,235190,229402,259742,258586,282232,305012,350555,351863,362725,370205,398358,405426,397433,385581,383420,371134,418050,419939,407319,413665,422677,422939,422965,0,0,387187,390943,397444,352825,329316,269943,266909,236007,234569,124192,83960,121757,76669.7,16132.6,19146,31956.6,37778,422712,422642,422256,420365,411142,416798,420231,422376,421819,412140,417155,315865,167444,208006,197149,154978,301345,298907,317205,318522,330453,326104,363035,355045,365158,362699,404188,403709,379136,372182,
200,0,0,416434,416428,326098,326194,26288.8,25369.3,302839,309408,347305,414863,415932,326243,326125,0,52391,0,50580.5,85634.2,123297,92112.7,119022,416521,416520,414262,410896,401345,406808,181589,144478,199191,162402,314910,286439,222333,216716,246182,245074,268283,290887,337150,338510,349832,357702,388190,396115,387163,374188,371855,358706,410619,412838,398258,405519,416086,416398,416429,0,0,375920,380029,387184,339497,315366,256167,253203,223122,221721,116483,78632.5,114190,71785.3,15092.6,17911.6,29898.6,35344.8,416128,416043,415583,413341,402613,409151,413183,415727,415065,403760,409572,301766,157411,196151,185726,145600,287216,284802,303115,304440,316523,312104,350164,341809,352383,349816,394718,394179,367242,359821,
225,0,0,408887,408880,313615,313704,24786.5,23920.3,290267,296826,335196,407125,408323,313748,313642,0,49413.5,0,47705,80821.8,116500,86950.2,112455,408985,408984,406451,402700,392183,398176,172107,136653,188996,153750,302340,273976,211319,205873,234462,233397,256097,278387,324819,326207,337789,345895,377957,386498,376858,363108,360660,346949,402393,404861,388822,396758,408496,408846,408882,0,0,364924,369277,376887,327205,302800,244208,241319,212082,210719,110040,74199.2,107868,67723.9,14229.8,16887.6,28190.9,33325.9,408543,408448,407932,405422,393567,400761,405246,408093,407351,394823,401230,289197,148969,186079,176050,137723,274742,272365,290543,291862,303961,299526,338135,329568,340409,337781,384986,384402,355828,348106,
