
Inspected Vertex: 15
Time,v(m)
0,-0.000248076
25,-0.000263707
50,-0.000270138
75,-0.000275076
100,-0.000279241
125,-0.00028291
150,-0.000286227
175,-0.000289278
200,-0.000292117
225,-0.000294785
250,-0.000297307
275,-0.000299706
300,-0.000301997
325,-0.000304192
350,-0.000306301
375,-0.000308332
400,-0.000310291
425,-0.000312183
450,-0.000314013
475,-0.000315784
500,-0.0003175
525,-0.000319163
550,-0.000320775
575,-0.000322339
600,-0.000323857
625,-0.000325329
650,-0.000326758
675,-0.000328146
700,-0.000329493
725,-0.000330801
750,-0.000332071
775,-0.000333304
800,-0.000334502
825,-0.000335665
850,-0.000336795
875,-0.000337892
900,-0.000338957
925,-0.000339992
950,-0.000340997
975,-0.000341974
1000,-0.000342922
1025,-0.000343843
1050,-0.000344737
1075,-0.000345606
1100,-0.00034645
1125,-0.00034727
1150,-0.000348066
1175,-0.000348839
1200,-0.00034959
1225,-0.00035032
1250,-0.000351028
1275,-0.000351716
1300,-0.000352385
1325,-0.000353034
1350,-0.000353665
1375,-0.000354277
1400,-0.000354872
1425,-0.00035545
1450,-0.000356011
1475,-0.000356556
1500,-0.000357086
1525,-0.0003576
1550,-0.0003581
1575,-0.000358585
1600,-0.000359056
1625,-0.000359514
1650,-0.000359958
1675,-0.00036039
1700,-0.00036081
1725,-0.000361217
1750,-0.000361613
1775,-0.000361997
1800,-0.00036237
1825,-0.000362733
1850,-0.000363085
1875,-0.000363427
1900,-0.000363759
1925,-0.000364082
1950,-0.000364396
1975,-0.0003647
2000,-0.000364996
2025,-0.000365283
2050,-0.000365562
2075,-0.000365833
2100,-0.000366096
2125,-0.000366352
2150,-0.0003666
2175,-0.000366841
2200,-0.000367075
2225,-0.000367303
2250,-0.000367524
2275,-0.000367738
2300,-0.000367947
2325,-0.000368149
2350,-0.000368346
2375,-0.000368537
2400,-0.000368723
2425,-0.000368903
2450,-0.000369078
2475,-0.000369248
2500,-0.000369413
2525,-0.000369573
2550,-0.000369729
2575,-0.000369881
2600,-0.000370028
2625,-0.00037017
2650,-0.000370309
2675,-0.000370444
2700,-0.000370574
2725,-0.000370702
2750,-0.000370825
2775,-0.000370945
2800,-0.000371061
2825,-0.000371174
2850,-0.000371284
2875,-0.000371391
2900,-0.000371494
2925,-0.000371595
2950,-0.000371693
2975,-0.000371788
3000,-0.00037188
3025,-0.00037197
3050,-0.000372057
3075,-0.000372141
3100,-0.000372223
3125,-0.000372303
3150,-0.00037238
3175,-0.000372455
3200,-0.000372529
3225,-0.000372599
3250,-0.000372668
3275,-0.000372735
3300,-0.0003728
3325,-0.000372864
3350,-0.000372925
3375,-0.000372984
3400,-0.000373042
3425,-0.000373098
3450,-0.000373153
3475,-0.000373206
3500,-0.000373258
3525,-0.000373308
3550,-0.000373356
3575,-0.000373403
3600,-0.000373449
3625,-0.000373494
3650,-0.000373537
3675,-0.000373579
3700,-0.00037362
3725,-0.000373659
3750,-0.000373698
3775,-0.000373735
3800,-0.000373772
3825,-0.000373807
3850,-0.000373841
3875,-0.000373874
3900,-0.000373907
3925,-0.000373938
3950,-0.000373969
3975,-0.000373998
4000,-0.000374027
